replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.8222,1.09,-6840.18,13760.75,40.0,-6840.2,13758.78,39.0,0.1756,0.1504,Convergence/flat likelihood
2,SRV,0.8248,1.08,-6840.18,13760.76,40.0,-6840.21,13758.79,39.0,0.1756,0.1504,Convergence/flat likelihood
3,SRV,0.8237,1.08,-6840.19,13760.77,40.0,-6840.21,13758.8,39.0,0.1756,0.1504,Convergence/flat likelihood
4,SRV,1.0,0.99,-6840.2,13762.82,41.0,-6840.19,13760.78,40.0,0.1756,0.1504,Convergence/flat likelihood
5,SRV,0.8238,1.08,-6840.19,13760.77,40.0,-6840.21,13758.8,39.0,0.1756,0.1504,Convergence/flat likelihood
6,SRV,0.8266,1.09,-6840.19,13760.76,40.0,-6840.21,13758.79,39.0,0.1756,0.1504,Convergence/flat likelihood
7,SRV,0.8372,1.08,-6840.19,13760.77,40.0,-6840.21,13758.79,39.0,0.1756,0.1504,Convergence/flat likelihood
8,SRV,0.822,1.08,-6840.18,13760.76,40.0,-6840.21,13758.79,39.0,0.1756,0.1504,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.8227,1.08,-6840.19,13760.77,40.0,-6840.21,13758.8,39.0,0.1756,0.1504,Convergence/flat likelihood
10,SRV,0.8217,1.09,-6840.18,13760.75,40.0,-6840.2,13758.78,39.0,0.1756,0.1504,Convergence/flat likelihood
1,SRV+Double,0.8354,1.08,-6840.19,13764.81,42.0,-6840.21,13762.83,41.0,0.1756,0.1504,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.8237,1.08,-6840.18,13764.8,42.0,-6840.21,13762.83,41.0,0.1756,0.1504,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.8323,1.08,-6840.19,13764.81,42.0,-6840.21,13762.83,41.0,0.1756,0.1504,Convergence/flat likelihood
4,SRV+Double,1.0,0.96,-6840.18,13766.82,43.0,-6840.18,13764.79,42.0,0.1756,0.1504,Convergence/flat likelihood
5,SRV+Double,0.833,1.07,-6840.18,13764.8,42.0,-6840.21,13762.83,41.0,0.1756,0.1504,Convergence/flat likelihood
6,SRV+Double,0.826,1.08,-6840.18,13764.8,42.0,-6840.21,13762.83,41.0,0.1756,0.1504,Convergence/flat likelihood
7,SRV+Double,0.8326,1.08,-6840.19,13764.81,42.0,-6840.21,13762.83,41.0,0.1756,0.1504,Convergence/flat likelihood
8,SRV+Double,1.0,0.93,-6840.18,13766.82,43.0,-6840.18,13764.79,42.0,0.1756,0.1504,Convergence/flat likelihood
9,SRV+Double,0.8294,1.08,-6840.18,13764.8,42.0,-6840.21,13762.83,41.0,0.1756,0.1504,Convergence/flat likelihood
10,SRV+Double,0.8419,1.08,-6840.19,13764.81,42.0,-6840.21,13762.83,41.0,0.1756,0.1504,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,,,,,,,,,0.1756,0.1504,
2,SRV+Double+Triple,0.8271,1.08,-6840.18,13768.84,44.0,-6840.21,13766.87,43.0,0.1756,0.1505,Convergence/flat likelihood
3,SRV+Double+Triple,0.8296,1.08,-6840.18,13768.85,44.0,-6840.21,13766.87,43.0,0.1756,0.1504,Convergence/flat likelihood
4,SRV+Double+Triple,1.0,0.96,-6840.18,13770.86,45.0,-6840.18,13768.84,44.0,0.1756,0.1504,Convergence/flat likelihood
5,SRV+Double+Triple,0.824,1.09,-6840.18,13768.84,44.0,-6840.21,13766.87,43.0,0.1756,0.1504,Convergence/flat likelihood
6,SRV+Double+Triple,0.8299,1.07,-6840.18,13768.84,44.0,-6840.21,13766.87,43.0,0.1756,0.1504,Convergence/flat likelihood
7,SRV+Double+Triple,0.8441,1.08,-6840.21,13768.9,44.0,-6840.23,13766.92,43.0,0.1756,0.1504,Convergence/flat likelihood
8,SRV+Double+Triple,0.8268,1.09,-6840.18,13768.84,44.0,-6840.21,13766.87,43.0,0.1756,0.1504,Convergence/flat likelihood
9,SRV+Double+Triple,0.824,1.09,-6840.18,13768.84,44.0,-6840.21,13766.87,43.0,0.1759,0.1507,Convergence/flat likelihood
10,SRV+Double+Triple,0.8304,1.08,-6840.19,13768.85,44.0,-6840.21,13766.88,43.0,0.1756,0.1504,Convergence/flat likelihood
