model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.1359,SRV+Double,1
alternative,reference,2H,0.0971,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0995,SRV+Double,1
null,reference,2H,0.0936,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.1257,SRV+Double,2
alternative,reference,2H,0.1044,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.1079,SRV+Double,2
null,reference,2H,0.0964,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.1354,SRV+Double,3
alternative,reference,2H,0.0937,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0957,SRV+Double,3
null,reference,2H,0.0906,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.127,SRV+Double,4
alternative,reference,2H,0.1088,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.109,SRV+Double,4
null,reference,2H,0.1057,SRV+Double,4
null,reference,2H,0.1076,SRV+Double,4
null,reference,2H,0.0975,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.1268,SRV+Double,5
alternative,reference,2H,0.1022,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.1051,SRV+Double,5
null,reference,2H,0.097,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.136,SRV+Double,6
alternative,reference,2H,0.0986,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.1011,SRV+Double,6
null,reference,2H,0.0959,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.136,SRV+Double,7
alternative,reference,2H,0.0971,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.1007,SRV+Double,7
null,reference,2H,0.0944,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.1366,SRV+Double,8
alternative,reference,2H,0.0983,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0993,SRV+Double,8
null,reference,2H,0.0931,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.1257,SRV+Double,9
alternative,reference,2H,0.105,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.1077,SRV+Double,9
null,reference,2H,0.0971,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.1358,SRV+Double,10
alternative,reference,2H,0.0984,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.0994,SRV+Double,10
null,reference,2H,0.0934,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.1372,SRV+Double+Triple,1
alternative,reference,2H,0.0976,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.1007,SRV+Double+Triple,1
null,reference,2H,0.0953,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.1266,SRV+Double+Triple,2
alternative,reference,2H,0.0961,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0975,SRV+Double+Triple,2
null,reference,2H,0.093,SRV+Double+Triple,2
null,reference,3H,0.0,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.1274,SRV+Double+Triple,3
alternative,reference,2H,0.1001,SRV+Double+Triple,3
alternative,reference,3H,0.0,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.1017,SRV+Double+Triple,3
null,reference,2H,0.0959,SRV+Double+Triple,3
null,reference,3H,0.0,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.1222,SRV+Double+Triple,4
alternative,reference,2H,0.0775,SRV+Double+Triple,4
alternative,reference,3H,0.0,SRV+Double+Triple,4
alternative,test,2H,0.0,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0755,SRV+Double+Triple,4
null,reference,2H,0.0757,SRV+Double+Triple,4
null,reference,2H,0.0754,SRV+Double+Triple,4
null,reference,2H,0.075,SRV+Double+Triple,4
null,reference,2H,0.0749,SRV+Double+Triple,4
null,reference,2H,0.0746,SRV+Double+Triple,4
null,reference,2H,0.0745,SRV+Double+Triple,4
null,reference,2H,0.0744,SRV+Double+Triple,4
null,reference,2H,0.0742,SRV+Double+Triple,4
null,reference,2H,0.0743,SRV+Double+Triple,4
null,reference,2H,0.0521,SRV+Double+Triple,4
null,reference,3H,0.0,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.1279,SRV+Double+Triple,5
alternative,reference,2H,0.0985,SRV+Double+Triple,5
alternative,reference,3H,0.0,SRV+Double+Triple,5
