model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.034,23.677,SRV,1
null,2,0.88,47.765,SRV,1
null,3,2.003,28.558,SRV,1
null,1,0.039,24.099,SRV,2
null,2,0.886,47.467,SRV,2
null,3,2.004,28.434,SRV,2
null,1,0.065,27.013,SRV,3
null,2,0.99,49.266,SRV,3
null,3,2.086,23.721,SRV,3
null,1,0.082,28.455,SRV,4
null,2,1.012,47.827,SRV,4
null,3,2.077,23.718,SRV,4
null,1,0.0,20.857,SRV,5
null,2,0.824,49.253,SRV,5
null,3,1.988,29.89,SRV,5
null,1,0.0,20.625,SRV,6
null,2,0.809,48.672,SRV,6
null,3,1.974,30.702,SRV,6
null,1,0.066,26.958,SRV,7
null,2,0.976,48.352,SRV,7
null,3,2.067,24.69,SRV,7
null,1,0.063,26.773,SRV,8
null,2,0.981,49.189,SRV,8
null,3,2.082,24.039,SRV,8
null,1,0.042,24.384,SRV,9
null,2,0.893,47.355,SRV,9
null,3,2.005,28.262,SRV,9
null,1,0.006,21.654,SRV,10
null,2,0.852,49.622,SRV,10
null,3,2.005,28.724,SRV,10
