model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.1596,SRV+Double,1
alternative,reference,2H,0.1477,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.1318,SRV+Double,1
null,reference,2H,0.1432,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.1264,SRV+Double,2
alternative,reference,2H,0.1537,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.1313,SRV+Double,2
null,reference,2H,0.1441,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.1234,SRV+Double,3
alternative,reference,2H,0.1539,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.1293,SRV+Double,3
null,reference,2H,0.1407,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.1264,SRV+Double,4
alternative,reference,2H,0.1611,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.1308,SRV+Double,4
null,reference,2H,0.1405,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.1357,SRV+Double,5
alternative,reference,2H,0.1471,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.1326,SRV+Double,5
null,reference,2H,0.1424,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.1358,SRV+Double,6
alternative,reference,2H,0.1429,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.1289,SRV+Double,6
null,reference,2H,0.1389,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.1249,SRV+Double,7
alternative,reference,2H,0.1548,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.1252,SRV+Double,7
null,reference,2H,0.1362,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.1259,SRV+Double,8
alternative,reference,2H,0.1544,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.129,SRV+Double,8
null,reference,2H,0.1406,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.136,SRV+Double,9
alternative,reference,2H,0.1375,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.1237,SRV+Double,9
null,reference,2H,0.136,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.1329,SRV+Double,10
alternative,reference,2H,0.1492,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.1371,SRV+Double,10
null,reference,2H,0.1428,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.1364,SRV+Double+Triple,1
alternative,reference,2H,0.1475,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.1287,SRV+Double+Triple,1
null,reference,2H,0.1395,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.1283,SRV+Double+Triple,2
alternative,reference,2H,0.151,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.1232,SRV+Double+Triple,2
null,reference,2H,0.1352,SRV+Double+Triple,2
null,reference,3H,0.0,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.1328,SRV+Double+Triple,3
alternative,reference,2H,0.1466,SRV+Double+Triple,3
alternative,reference,3H,0.0,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.1308,SRV+Double+Triple,3
null,reference,2H,0.1421,SRV+Double+Triple,3
null,reference,3H,0.0,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.1263,SRV+Double+Triple,4
alternative,reference,2H,0.1557,SRV+Double+Triple,4
alternative,reference,3H,0.0,SRV+Double+Triple,4
alternative,test,2H,0.0,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.1488,SRV+Double+Triple,4
null,reference,2H,0.1629,SRV+Double+Triple,4
null,reference,3H,0.0,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.1242,SRV+Double+Triple,5
alternative,reference,2H,0.1492,SRV+Double+Triple,5
alternative,reference,3H,0.0,SRV+Double+Triple,5
alternative,test,2H,0.0,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.1254,SRV+Double+Triple,5
null,reference,2H,0.1385,SRV+Double+Triple,5
null,reference,3H,0.0,SRV+Double+Triple,5
null,test,2H,0.0,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.1291,SRV+Double+Triple,6
alternative,reference,2H,0.1524,SRV+Double+Triple,6
alternative,reference,3H,0.0,SRV+Double+Triple,6
alternative,test,2H,0.0,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.1241,SRV+Double+Triple,6
null,reference,2H,0.1342,SRV+Double+Triple,6
null,reference,3H,0.0,SRV+Double+Triple,6
null,test,2H,0.0,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.1359,SRV+Double+Triple,7
alternative,reference,2H,0.1517,SRV+Double+Triple,7
alternative,reference,3H,0.0,SRV+Double+Triple,7
alternative,test,2H,0.0,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.1308,SRV+Double+Triple,7
null,reference,2H,0.14,SRV+Double+Triple,7
null,reference,3H,0.0,SRV+Double+Triple,7
null,test,2H,0.0,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.1285,SRV+Double+Triple,8
alternative,reference,2H,0.1576,SRV+Double+Triple,8
alternative,reference,3H,0.0,SRV+Double+Triple,8
alternative,test,2H,0.0,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.1317,SRV+Double+Triple,8
null,reference,2H,0.1422,SRV+Double+Triple,8
null,reference,3H,0.0,SRV+Double+Triple,8
null,test,2H,0.0,SRV+Double+Triple,8
null,test,3H,0.0,SRV+Double+Triple,8
alternative,reference,2H,0.1271,SRV+Double+Triple,9
alternative,reference,2H,0.1524,SRV+Double+Triple,9
