replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.0254,1.52,-6837.71,13755.82,40,-6840.21,13758.8,39,0.1857,0.0826,Convergence/flat likelihood
2,SRV,0.0254,1.52,-6837.72,13755.82,40,-6840.21,13758.8,39,0.1857,0.0826,Convergence/flat likelihood
3,SRV,0.0255,1.52,-6837.71,13755.82,40,-6840.21,13758.8,39,0.1857,0.0826,Convergence/flat likelihood
4,SRV,0.0255,1.52,-6837.71,13755.82,40,-6840.21,13758.8,39,0.1857,0.0826,Convergence/flat likelihood
5,SRV,0.0259,1.54,-6837.72,13755.84,40,-6840.21,13758.79,39,0.1857,0.0826,Convergence/flat likelihood
6,SRV,0.0261,1.5,-6837.74,13755.87,40,-6840.21,13758.8,39,0.1857,0.0826,Convergence/flat likelihood
7,SRV,0.0259,1.54,-6837.72,13755.84,40,-6840.21,13758.79,39,0.1857,0.0826,Convergence/flat likelihood
8,SRV,0.0255,1.53,-6837.72,13755.83,40,-6840.21,13758.8,39,0.1857,0.0826,Convergence/flat likelihood
9,SRV,0.0253,1.52,-6837.71,13755.82,40,-6840.22,13758.81,39,0.1857,0.0826,Convergence/flat likelihood
10,SRV,0.0255,1.53,-6837.72,13755.82,40,-6840.21,13758.8,39,0.1857,0.0826,Convergence/flat likelihood
1,SRV+Double,0.0254,1.52,-6837.71,13759.86,42,-6840.21,13762.83,41,0.1857,0.0826,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,1.0,1.14,-6837.72,13761.9,43,-6837.72,13759.88,42,0.1857,0.0826,Convergence/flat likelihood
3,SRV+Double,0.0257,1.52,-6837.72,13759.87,42,-6840.21,13762.83,41,0.1857,0.0826,Convergence/flat likelihood
4,SRV+Double,0.0257,1.53,-6837.72,13759.87,42,-6840.21,13762.83,41,0.1858,0.0827,Convergence/flat likelihood
5,SRV+Double,1.0,1.31,-6837.72,13761.9,43,-6837.72,13759.86,42,0.1857,0.0826,Convergence/flat likelihood
6,SRV+Double,0.026,1.54,-6837.73,13759.88,42,-6840.2,13762.82,41,0.1857,0.0829,Convergence/flat likelihood
7,SRV+Double,0.0256,1.53,-6837.72,13759.87,42,-6840.21,13762.83,41,0.1857,0.0826,Convergence/flat likelihood
8,SRV+Double,0.0257,1.51,-6837.72,13759.86,42,-6840.2,13762.82,41,0.1857,0.0826,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.0262,1.48,-6837.73,13759.9,42,-6840.21,13762.82,41,0.1857,0.0826,Convergence/flat likelihood
10,SRV+Double,0.0256,1.52,-6837.71,13759.86,42,-6840.2,13762.82,41,0.1857,0.0826,Convergence/flat likelihood
1,SRV+Double+Triple,0.0258,1.53,-6837.72,13763.92,44,-6840.21,13766.87,43,0.1857,0.0826,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.0261,1.5,-6837.73,13763.94,44,-6840.2,13766.86,43,0.1857,0.0826,Convergence/flat likelihood
3,SRV+Double+Triple,0.0254,1.52,-6837.71,13763.9,44,-6840.21,13766.87,43,0.1857,0.0826,Convergence/flat likelihood
4,SRV+Double+Triple,0.026,1.54,-6837.72,13763.92,44,-6840.2,13766.86,43,0.1857,0.0826,Convergence/flat likelihood
5,SRV+Double+Triple,0.0258,1.53,-6837.72,13763.92,44,-6840.21,13766.87,43,0.1857,0.0826,Convergence/flat likelihood
6,SRV+Double+Triple,0.0255,1.53,-6837.72,13763.91,44,-6840.21,13766.88,43,0.1857,0.0826,Convergence/flat likelihood
7,SRV+Double+Triple,0.0258,1.53,-6837.72,13763.92,44,-6840.2,13766.86,43,0.1857,0.0826,Convergence/flat likelihood
8,SRV+Double+Triple,0.0261,1.54,-6837.73,13763.93,44,-6840.2,13766.86,43,0.1857,0.0826,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.026,1.54,-6837.73,13763.93,44,-6840.2,13766.86,43,0.1857,0.0826,Convergence/flat likelihood
10,SRV+Double+Triple,0.0256,1.53,-6837.72,13763.92,44,-6840.21,13766.87,43,0.1857,0.0826,Convergence/flat likelihood
