model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.264,28.465,SRV,1
null,2,0.468,28.807,SRV,1
null,3,1.849,42.728,SRV,1
null,1,0.259,34.139,SRV,2
null,2,0.565,24.342,SRV,2
null,3,1.864,41.518,SRV,2
null,1,0.265,24.463,SRV,3
null,2,0.433,32.447,SRV,3
null,3,1.844,43.09,SRV,3
null,1,0.285,31.509,SRV,4
null,2,0.455,25.399,SRV,4
null,3,1.844,43.092,SRV,4
null,1,0.295,33.453,SRV,5
null,2,0.447,23.198,SRV,5
null,3,1.84,43.349,SRV,5
null,1,0.304,32.405,SRV,6
null,2,0.423,24.139,SRV,6
null,3,1.839,43.456,SRV,6
null,1,0.279,31.023,SRV,7
null,2,0.463,26.02,SRV,7
null,3,1.846,42.957,SRV,7
null,1,0.245,32.257,SRV,8
null,2,0.572,26.631,SRV,8
null,3,1.87,41.112,SRV,8
null,1,0.254,28.753,SRV,9
null,2,0.489,28.769,SRV,9
null,3,1.851,42.478,SRV,9
null,1,0.276,30.186,SRV,10
null,2,0.462,26.875,SRV,10
null,3,1.846,42.94,SRV,10
