replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.3221,1.13,-12274.8,24641.98,46,-12275.29,24640.94,45,0.2413,0.1931,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.3212,1.14,-12274.8,24641.99,46,-12275.29,24640.96,45,0.2416,0.1931,Convergence/flat likelihood
3,SRV,0.322,1.13,-12274.8,24641.98,46,-12275.29,24640.95,45,0.2416,0.1931,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.3233,1.13,-12274.8,24641.98,46,-12275.28,24640.94,45,0.2416,0.193,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.3218,1.13,-12274.79,24641.98,46,-12275.28,24640.94,45,0.2416,0.1931,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.3219,1.13,-12274.79,24641.98,46,-12275.29,24640.94,45,0.2418,0.1932,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.3243,1.14,-12274.8,24641.99,46,-12275.29,24640.95,45,0.2418,0.1931,Convergence/flat likelihood
8,SRV,0.3217,1.13,-12274.8,24641.98,46,-12275.29,24640.95,45,0.2415,0.1933,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.3216,1.13,-12274.8,24641.98,46,-12275.29,24640.95,45,0.2416,0.1928,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.3225,1.13,-12274.8,24641.98,46,-12275.29,24640.94,45,0.2416,0.1932,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.2737,1.15,-12273.37,24643.16,48,-12273.97,24642.34,47,0.2416,0.1932,Convergence/flat likelihood
2,SRV+Double,0.2749,1.15,-12273.37,24643.16,48,-12273.97,24642.34,47,0.2418,0.1932,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.2751,1.15,-12273.37,24643.17,48,-12273.97,24642.34,47,0.2417,0.193,Convergence/flat likelihood
4,SRV+Double,0.2728,1.15,-12273.37,24643.15,48,-12273.97,24642.34,47,0.2416,0.1931,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.2989,1.16,-12273.43,24643.27,48,-12273.96,24642.34,47,0.2416,0.1928,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.2766,1.15,-12273.37,24643.17,48,-12273.97,24642.34,47,0.2416,0.1931,Convergence/flat likelihood
7,SRV+Double,0.2767,1.15,-12273.38,24643.17,48,-12273.97,24642.34,47,0.2416,0.193,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.2741,1.15,-12273.37,24643.16,48,-12273.97,24642.34,47,0.2418,0.1931,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.276,1.15,-12273.38,24643.18,48,-12273.97,24642.35,47,0.2416,0.1928,Convergence/flat likelihood
10,SRV+Double,0.2737,1.15,-12273.37,24643.16,48,-12273.97,24642.34,47,0.2416,0.1929,Convergence/flat likelihood
1,SRV+Double+Triple,0.2564,1.15,-12272.12,24644.71,50,-12272.77,24643.98,49,0.2415,0.1933,Convergence/flat likelihood
2,SRV+Double+Triple,0.2569,1.15,-12272.12,24644.71,50,-12272.77,24643.97,49,0.2418,0.1931,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.2568,1.15,-12272.12,24644.71,50,-12272.77,24643.97,49,0.2417,0.193,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.2589,1.15,-12272.13,24644.72,50,-12272.77,24643.98,49,0.2416,0.1928,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.2562,1.15,-12272.12,24644.7,50,-12272.77,24643.97,49,0.2416,0.1932,Convergence/flat likelihood
6,SRV+Double+Triple,0.2572,1.15,-12272.12,24644.71,50,-12272.77,24643.97,49,0.2416,0.1931,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.2574,1.15,-12272.13,24644.71,50,-12272.77,24643.98,49,0.2419,0.1933,Convergence/flat likelihood
8,SRV+Double+Triple,0.2565,1.15,-12272.12,24644.71,50,-12272.77,24643.98,49,0.2417,0.193,Convergence/flat likelihood
9,SRV+Double+Triple,0.2587,1.15,-12272.13,24644.72,50,-12272.77,24643.98,49,0.2416,0.1928,Convergence/flat likelihood
10,SRV+Double+Triple,0.2556,1.15,-12272.12,24644.7,50,-12272.77,24643.97,49,0.2415,0.1931,Convergence/flat likelihood
