model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.118,8.356,SRV,1
null,2,0.863,82.583,SRV,1
null,3,3.059,9.062,SRV,1
null,1,0.115,8.205,SRV,2
null,2,0.861,82.662,SRV,2
null,3,3.05,9.133,SRV,2
null,1,0.119,8.374,SRV,3
null,2,0.863,82.533,SRV,3
null,3,3.051,9.093,SRV,3
null,1,0.117,8.317,SRV,4
null,2,0.863,82.603,SRV,4
null,3,3.057,9.081,SRV,4
null,1,0.115,8.229,SRV,5
null,2,0.862,82.674,SRV,5
null,3,3.054,9.097,SRV,5
null,1,0.118,8.327,SRV,6
null,2,0.863,82.588,SRV,6
null,3,3.054,9.085,SRV,6
null,1,0.112,8.131,SRV,7
null,2,0.861,82.745,SRV,7
null,3,3.052,9.124,SRV,7
null,1,0.12,8.418,SRV,8
null,2,0.864,82.554,SRV,8
null,3,3.065,9.028,SRV,8
null,1,0.121,8.452,SRV,9
null,2,0.864,82.519,SRV,9
null,3,3.062,9.029,SRV,9
null,1,0.117,8.326,SRV,10
null,2,0.863,82.587,SRV,10
null,3,3.055,9.087,SRV,10
