run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,6.116,,0.479
SRV,1,alternative,reference,omega,Negative selection,0.206,,96.217
SRV,1,alternative,reference,omega,Negative selection,0.251,,3.303
SRV,1,alternative,test,omega,Diversifying selection,5.98,,0.479
SRV,1,alternative,test,omega,Diversifying selection,6.116,,0.479
SRV,1,alternative,test,omega,Negative selection,0.21,,96.217
SRV,1,alternative,test,omega,Negative selection,0.255,,3.303
SRV,1,alternative,test,omega,Negative selection,0.206,,96.217
SRV,1,alternative,test,omega,Negative selection,0.251,,3.303
SRV,1,null,reference,omega,Diversifying selection,6.231,,0.465
SRV,1,null,reference,omega,Negative selection,0.208,,96.215
SRV,1,null,reference,omega,Negative selection,0.23,,3.32
SRV,1,null,test,omega,Diversifying selection,6.231,,0.465
SRV,1,null,test,omega,Negative selection,0.208,,96.215
SRV,1,null,test,omega,Negative selection,0.23,,3.32
SRV,2,alternative,reference,omega,Diversifying selection,6.25,,0.464
SRV,2,alternative,reference,omega,Negative selection,0.207,,94.638
SRV,2,alternative,reference,omega,Negative selection,0.233,,4.898
SRV,2,alternative,test,omega,Diversifying selection,6.13,,0.464
SRV,2,alternative,test,omega,Diversifying selection,6.25,,0.464
SRV,2,alternative,test,omega,Negative selection,0.211,,94.638
SRV,2,alternative,test,omega,Negative selection,0.237,,4.898
SRV,2,alternative,test,omega,Negative selection,0.207,,94.638
SRV,2,alternative,test,omega,Negative selection,0.233,,4.898
SRV,2,null,reference,omega,Diversifying selection,6.251,,0.463
SRV,2,null,reference,omega,Negative selection,0.208,,94.636
SRV,2,null,reference,omega,Negative selection,0.232,,4.902
SRV,2,null,test,omega,Diversifying selection,6.251,,0.463
SRV,2,null,test,omega,Negative selection,0.208,,94.636
SRV,2,null,test,omega,Negative selection,0.232,,4.902
SRV,3,alternative,reference,omega,Diversifying selection,6.208,,0.468
SRV,3,alternative,reference,omega,Negative selection,0.208,,97.214
SRV,3,alternative,reference,omega,Negative selection,0.235,,2.318
SRV,3,alternative,test,omega,Diversifying selection,6.079,,0.468
SRV,3,alternative,test,omega,Diversifying selection,6.208,,0.468
SRV,3,alternative,test,omega,Negative selection,0.212,,97.214
SRV,3,alternative,test,omega,Negative selection,0.239,,2.318
SRV,3,alternative,test,omega,Negative selection,0.208,,97.214
SRV,3,alternative,test,omega,Negative selection,0.235,,2.318
SRV,3,null,reference,omega,Diversifying selection,6.228,,0.465
SRV,3,null,reference,omega,Negative selection,0.208,,97.205
SRV,3,null,reference,omega,Negative selection,0.227,,2.33
SRV,3,null,test,omega,Diversifying selection,6.228,,0.465
SRV,3,null,test,omega,Negative selection,0.208,,97.205
SRV,3,null,test,omega,Negative selection,0.227,,2.33
SRV,4,alternative,reference,omega,Diversifying selection,6.2,,0.466
SRV,4,alternative,reference,omega,Negative selection,0.208,,96.948
SRV,4,alternative,reference,omega,Negative selection,0.225,,2.586
SRV,4,alternative,test,omega,Diversifying selection,6.079,,0.466
SRV,4,alternative,test,omega,Diversifying selection,6.2,,0.466
SRV,4,alternative,test,omega,Negative selection,0.211,,96.948
SRV,4,alternative,test,omega,Negative selection,0.229,,2.586
SRV,4,alternative,test,omega,Negative selection,0.208,,96.948
SRV,4,alternative,test,omega,Negative selection,0.225,,2.586
SRV,4,null,reference,omega,Diversifying selection,6.224,,0.465
SRV,4,null,reference,omega,Negative selection,0.208,,96.949
SRV,4,null,reference,omega,Negative selection,0.23,,2.586
SRV,4,null,test,omega,Diversifying selection,6.224,,0.465
SRV,4,null,test,omega,Negative selection,0.208,,96.949
SRV,4,null,test,omega,Negative selection,0.23,,2.586
SRV,5,alternative,reference,omega,Diversifying selection,6.235,,0.464
SRV,5,alternative,reference,omega,Negative selection,0.205,,92.339
SRV,5,alternative,reference,omega,Negative selection,0.247,,7.197
SRV,5,alternative,test,omega,Diversifying selection,6.114,,0.464
SRV,5,alternative,test,omega,Diversifying selection,6.235,,0.464
SRV,5,alternative,test,omega,Negative selection,0.209,,92.339
SRV,5,alternative,test,omega,Negative selection,0.251,,7.197
SRV,5,alternative,test,omega,Negative selection,0.205,,92.339
SRV,5,alternative,test,omega,Negative selection,0.247,,7.197
SRV,5,null,reference,omega,Diversifying selection,6.217,,0.466
SRV,5,null,reference,omega,Negative selection,0.206,,92.333
SRV,5,null,reference,omega,Negative selection,0.241,,7.201
SRV,5,null,test,omega,Diversifying selection,6.217,,0.466
SRV,5,null,test,omega,Negative selection,0.206,,92.333
SRV,5,null,test,omega,Negative selection,0.241,,7.201
SRV,6,alternative,reference,omega,Diversifying selection,6.287,,0.46
SRV,6,alternative,reference,omega,Negative selection,0.209,,98.189
SRV,6,alternative,reference,omega,Negative selection,0.213,,1.352
SRV,6,alternative,test,omega,Diversifying selection,6.154,,0.46
SRV,6,alternative,test,omega,Diversifying selection,6.287,,0.46
SRV,6,alternative,test,omega,Negative selection,0.212,,98.189
SRV,6,alternative,test,omega,Negative selection,0.217,,1.352
