model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0873,SRV+Double,1
alternative,reference,2H,0.049,SRV+Double,1
alternative,test,2H,0.1689,SRV+Double,1
null,reference,2H,0.0479,SRV+Double,1
null,reference,2H,0.0585,SRV+Double,1
null,test,2H,0.1745,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0899,SRV+Double,2
alternative,reference,2H,0.0487,SRV+Double,2
alternative,test,2H,0.1686,SRV+Double,2
null,reference,2H,0.0474,SRV+Double,2
null,reference,2H,0.059,SRV+Double,2
null,test,2H,0.1736,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0887,SRV+Double,3
alternative,reference,2H,0.0489,SRV+Double,3
alternative,test,2H,0.169,SRV+Double,3
null,reference,2H,0.0478,SRV+Double,3
null,reference,2H,0.0588,SRV+Double,3
null,test,2H,0.1744,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0888,SRV+Double,4
alternative,reference,2H,0.049,SRV+Double,4
alternative,test,2H,0.1691,SRV+Double,4
null,reference,2H,0.0479,SRV+Double,4
null,reference,2H,0.0589,SRV+Double,4
null,test,2H,0.1744,SRV+Double,4
null,test,2H,0.0424,SRV+Double,4
alternative,reference,2H,0.0885,SRV+Double,5
alternative,reference,2H,0.0485,SRV+Double,5
alternative,test,2H,0.1684,SRV+Double,5
null,reference,2H,0.0477,SRV+Double,5
null,reference,2H,0.059,SRV+Double,5
null,test,2H,0.1744,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.0872,SRV+Double,6
alternative,reference,2H,0.0491,SRV+Double,6
alternative,test,2H,0.169,SRV+Double,6
null,reference,2H,0.048,SRV+Double,6
null,reference,2H,0.0589,SRV+Double,6
null,test,2H,0.1744,SRV+Double,6
null,test,2H,0.005,SRV+Double,6
alternative,reference,2H,0.0893,SRV+Double,7
alternative,reference,2H,0.049,SRV+Double,7
alternative,test,2H,0.169,SRV+Double,7
null,reference,2H,0.0479,SRV+Double,7
null,reference,2H,0.0586,SRV+Double,7
null,test,2H,0.1746,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0896,SRV+Double,8
alternative,reference,2H,0.0487,SRV+Double,8
alternative,test,2H,0.1687,SRV+Double,8
null,reference,2H,0.0474,SRV+Double,8
null,reference,2H,0.0587,SRV+Double,8
null,test,2H,0.1741,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0871,SRV+Double,9
alternative,reference,2H,0.0491,SRV+Double,9
alternative,test,2H,0.1691,SRV+Double,9
null,reference,2H,0.0479,SRV+Double,9
null,reference,2H,0.0587,SRV+Double,9
null,test,2H,0.1742,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.0883,SRV+Double,10
alternative,reference,2H,0.0493,SRV+Double,10
alternative,test,2H,0.1694,SRV+Double,10
null,reference,2H,0.048,SRV+Double,10
null,reference,2H,0.0587,SRV+Double,10
null,test,2H,0.1744,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.1065,SRV+Double+Triple,1
alternative,reference,2H,0.06,SRV+Double+Triple,1
alternative,reference,3H,0.1807,SRV+Double+Triple,1
alternative,reference,3H,0.0191,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.982,SRV+Double+Triple,1
null,reference,2H,0.0595,SRV+Double+Triple,1
null,reference,2H,0.06,SRV+Double+Triple,1
null,reference,3H,0.0189,SRV+Double+Triple,1
null,reference,3H,0.0193,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,1.0475,SRV+Double+Triple,1
null,test,3H,0.9826,SRV+Double+Triple,1
alternative,reference,2H,0.1084,SRV+Double+Triple,2
alternative,reference,2H,0.0598,SRV+Double+Triple,2
alternative,reference,3H,0.1834,SRV+Double+Triple,2
alternative,reference,3H,0.0184,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.9864,SRV+Double+Triple,2
null,reference,2H,0.0594,SRV+Double+Triple,2
null,reference,2H,0.06,SRV+Double+Triple,2
null,reference,3H,0.0184,SRV+Double+Triple,2
null,reference,3H,0.0188,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,1.049,SRV+Double+Triple,2
null,test,3H,0.9849,SRV+Double+Triple,2
alternative,reference,2H,0.1038,SRV+Double+Triple,3
alternative,reference,2H,0.0598,SRV+Double+Triple,3
alternative,reference,3H,0.1781,SRV+Double+Triple,3
alternative,reference,3H,0.0187,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.9817,SRV+Double+Triple,3
null,reference,2H,0.0593,SRV+Double+Triple,3
null,reference,2H,0.0599,SRV+Double+Triple,3
null,reference,3H,0.0184,SRV+Double+Triple,3
null,reference,3H,0.0188,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,1.0458,SRV+Double+Triple,3
null,test,3H,0.9827,SRV+Double+Triple,3
alternative,reference,2H,0.0995,SRV+Double+Triple,4
alternative,reference,2H,0.0597,SRV+Double+Triple,4
alternative,reference,3H,0.1737,SRV+Double+Triple,4
alternative,reference,3H,0.0187,SRV+Double+Triple,4
alternative,test,2H,0.0,SRV+Double+Triple,4
alternative,test,3H,0.9813,SRV+Double+Triple,4
null,reference,2H,0.0593,SRV+Double+Triple,4
null,reference,2H,0.0599,SRV+Double+Triple,4
null,reference,3H,0.0185,SRV+Double+Triple,4
null,reference,3H,0.019,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,3H,1.046,SRV+Double+Triple,4
null,test,3H,0.9827,SRV+Double+Triple,4
alternative,reference,2H,0.1064,SRV+Double+Triple,5
alternative,reference,2H,0.0597,SRV+Double+Triple,5
alternative,reference,3H,0.1832,SRV+Double+Triple,5
alternative,reference,3H,0.0188,SRV+Double+Triple,5
alternative,test,2H,0.0,SRV+Double+Triple,5
alternative,test,3H,0.9817,SRV+Double+Triple,5
null,reference,2H,0.0593,SRV+Double+Triple,5
null,reference,2H,0.0599,SRV+Double+Triple,5
null,reference,3H,0.0184,SRV+Double+Triple,5
null,reference,3H,0.019,SRV+Double+Triple,5
null,test,2H,0.0,SRV+Double+Triple,5
null,test,3H,1.0452,SRV+Double+Triple,5
null,test,3H,0.9823,SRV+Double+Triple,5
alternative,reference,2H,0.1045,SRV+Double+Triple,6
alternative,reference,2H,0.0598,SRV+Double+Triple,6
alternative,reference,3H,0.1774,SRV+Double+Triple,6
alternative,reference,3H,0.0186,SRV+Double+Triple,6
alternative,test,2H,0.0,SRV+Double+Triple,6
alternative,test,3H,0.9823,SRV+Double+Triple,6
null,reference,2H,0.0592,SRV+Double+Triple,6
null,reference,2H,0.0598,SRV+Double+Triple,6
null,reference,3H,0.0183,SRV+Double+Triple,6
null,reference,3H,0.019,SRV+Double+Triple,6
null,test,2H,0.0,SRV+Double+Triple,6
null,test,3H,1.0439,SRV+Double+Triple,6
null,test,3H,0.9805,SRV+Double+Triple,6
alternative,reference,2H,0.1064,SRV+Double+Triple,7
alternative,reference,2H,0.0599,SRV+Double+Triple,7
alternative,reference,3H,0.1857,SRV+Double+Triple,7
alternative,reference,3H,0.019,SRV+Double+Triple,7
alternative,test,2H,0.0,SRV+Double+Triple,7
alternative,test,3H,0.9817,SRV+Double+Triple,7
null,reference,2H,0.0595,SRV+Double+Triple,7
null,reference,2H,0.0599,SRV+Double+Triple,7
null,reference,3H,0.0187,SRV+Double+Triple,7
null,reference,3H,0.0193,SRV+Double+Triple,7
null,test,2H,0.0,SRV+Double+Triple,7
null,test,3H,1.046,SRV+Double+Triple,7
null,test,3H,0.9873,SRV+Double+Triple,7
alternative,reference,2H,0.1037,SRV+Double+Triple,8
alternative,reference,2H,0.0596,SRV+Double+Triple,8
alternative,reference,3H,0.1748,SRV+Double+Triple,8
alternative,reference,3H,0.0184,SRV+Double+Triple,8
alternative,test,2H,0.0,SRV+Double+Triple,8
alternative,test,3H,0.9808,SRV+Double+Triple,8
null,reference,2H,0.0592,SRV+Double+Triple,8
null,reference,2H,0.0598,SRV+Double+Triple,8
null,reference,3H,0.0182,SRV+Double+Triple,8
null,reference,3H,0.019,SRV+Double+Triple,8
null,test,2H,0.0,SRV+Double+Triple,8
null,test,3H,1.0481,SRV+Double+Triple,8
null,test,3H,0.985,SRV+Double+Triple,8
alternative,reference,2H,0.1078,SRV+Double+Triple,9
alternative,reference,2H,0.0598,SRV+Double+Triple,9
alternative,reference,3H,0.1833,SRV+Double+Triple,9
alternative,reference,3H,0.0187,SRV+Double+Triple,9
alternative,test,2H,0.0,SRV+Double+Triple,9
alternative,test,3H,0.9826,SRV+Double+Triple,9
null,reference,2H,0.0593,SRV+Double+Triple,9
null,reference,2H,0.0599,SRV+Double+Triple,9
null,reference,3H,0.0184,SRV+Double+Triple,9
null,reference,3H,0.0191,SRV+Double+Triple,9
null,test,2H,0.0,SRV+Double+Triple,9
null,test,3H,1.0467,SRV+Double+Triple,9
null,test,3H,0.984,SRV+Double+Triple,9
alternative,reference,2H,0.1088,SRV+Double+Triple,10
alternative,reference,2H,0.0599,SRV+Double+Triple,10
alternative,reference,3H,0.1893,SRV+Double+Triple,10
alternative,reference,3H,0.0188,SRV+Double+Triple,10
alternative,test,2H,0.0,SRV+Double+Triple,10
alternative,test,3H,0.9832,SRV+Double+Triple,10
null,reference,2H,0.0592,SRV+Double+Triple,10
null,reference,2H,0.0599,SRV+Double+Triple,10
null,reference,3H,0.0186,SRV+Double+Triple,10
null,reference,3H,0.019,SRV+Double+Triple,10
null,test,2H,0.0,SRV+Double+Triple,10
null,test,3H,1.0457,SRV+Double+Triple,10
null,test,3H,0.9835,SRV+Double+Triple,10
