model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.117,8.312,SRV,1
null,2,0.862,82.599,SRV,1
null,3,3.059,9.09,SRV,1
null,1,0.119,8.4,SRV,2
null,2,0.864,82.541,SRV,2
null,3,3.06,9.058,SRV,2
null,1,0.117,8.319,SRV,3
null,2,0.863,82.604,SRV,3
null,3,3.058,9.077,SRV,3
null,1,0.118,8.36,SRV,4
null,2,0.863,82.571,SRV,4
null,3,3.06,9.069,SRV,4
null,1,0.117,8.299,SRV,5
null,2,0.862,82.609,SRV,5
null,3,3.058,9.092,SRV,5
null,1,0.118,8.335,SRV,6
null,2,0.863,82.588,SRV,6
null,3,3.057,9.077,SRV,6
null,1,0.118,8.339,SRV,7
null,2,0.863,82.592,SRV,7
null,3,3.059,9.069,SRV,7
null,1,0.121,8.48,SRV,8
null,2,0.864,82.478,SRV,8
null,3,3.062,9.042,SRV,8
null,1,0.121,8.459,SRV,9
null,2,0.864,82.495,SRV,9
null,3,3.062,9.046,SRV,9
null,1,0.119,8.414,SRV,10
null,2,0.863,82.527,SRV,10
null,3,3.061,9.059,SRV,10
