model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0,SRV+Double,1
alternative,test,2H,0.1433,SRV+Double,1
null,reference,2H,0.0,SRV+Double,1
null,test,2H,0.0977,SRV+Double,1
null,test,2H,0.1541,SRV+Double,1
alternative,reference,2H,0.0706,SRV+Double,2
alternative,reference,2H,0.0,SRV+Double,2
alternative,test,2H,0.1439,SRV+Double,2
null,reference,2H,0.0,SRV+Double,2
null,test,2H,0.0979,SRV+Double,2
null,test,2H,0.1533,SRV+Double,2
alternative,reference,2H,0.0704,SRV+Double,3
alternative,reference,2H,0.0044,SRV+Double,3
alternative,test,2H,0.1518,SRV+Double,3
null,reference,2H,0.0058,SRV+Double,3
null,reference,2H,0.0045,SRV+Double,3
null,test,2H,0.1046,SRV+Double,3
null,test,2H,0.1516,SRV+Double,3
alternative,reference,2H,0.0705,SRV+Double,4
alternative,reference,2H,0.0,SRV+Double,4
alternative,test,2H,0.1438,SRV+Double,4
null,reference,2H,0.0,SRV+Double,4
null,test,2H,0.0983,SRV+Double,4
null,test,2H,0.1518,SRV+Double,4
alternative,reference,2H,0.0704,SRV+Double,5
alternative,reference,2H,0.0046,SRV+Double,5
alternative,test,2H,0.1525,SRV+Double,5
null,reference,2H,0.0059,SRV+Double,5
null,reference,2H,0.0045,SRV+Double,5
null,test,2H,0.1045,SRV+Double,5
null,test,2H,0.1519,SRV+Double,5
alternative,reference,2H,0.0694,SRV+Double,6
alternative,reference,2H,0.0044,SRV+Double,6
alternative,test,2H,0.1517,SRV+Double,6
null,reference,2H,0.0059,SRV+Double,6
null,reference,2H,0.0044,SRV+Double,6
null,test,2H,0.1048,SRV+Double,6
null,test,2H,0.1515,SRV+Double,6
alternative,reference,2H,0.0706,SRV+Double,7
alternative,reference,2H,0.0,SRV+Double,7
alternative,test,2H,0.1428,SRV+Double,7
null,reference,2H,0.0,SRV+Double,7
null,test,2H,0.0977,SRV+Double,7
null,test,2H,0.1535,SRV+Double,7
alternative,reference,2H,0.0699,SRV+Double,8
alternative,reference,2H,0.0048,SRV+Double,8
alternative,test,2H,0.1489,SRV+Double,8
null,reference,2H,0.0059,SRV+Double,8
null,reference,2H,0.0045,SRV+Double,8
null,test,2H,0.105,SRV+Double,8
null,test,2H,0.1514,SRV+Double,8
alternative,reference,2H,0.0689,SRV+Double,9
alternative,reference,2H,0.0046,SRV+Double,9
alternative,test,2H,0.1524,SRV+Double,9
null,reference,2H,0.0058,SRV+Double,9
null,reference,2H,0.0045,SRV+Double,9
null,test,2H,0.1049,SRV+Double,9
null,test,2H,0.1509,SRV+Double,9
alternative,reference,2H,0.0694,SRV+Double,10
alternative,reference,2H,0.0047,SRV+Double,10
alternative,test,2H,0.1516,SRV+Double,10
null,reference,2H,0.0058,SRV+Double,10
null,reference,2H,0.0045,SRV+Double,10
null,test,2H,0.1044,SRV+Double,10
null,test,2H,0.1519,SRV+Double,10
alternative,reference,2H,0.0616,SRV+Double+Triple,1
alternative,reference,2H,0.0045,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.152,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0057,SRV+Double+Triple,1
null,reference,2H,0.0044,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.1051,SRV+Double+Triple,1
null,test,2H,0.1521,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.0618,SRV+Double+Triple,2
alternative,reference,2H,0.0,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.1441,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0,SRV+Double+Triple,2
null,reference,3H,0.0,SRV+Double+Triple,2
null,test,2H,0.0975,SRV+Double+Triple,2
null,test,2H,0.1539,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.0622,SRV+Double+Triple,3
alternative,reference,2H,0.0046,SRV+Double+Triple,3
alternative,reference,3H,0.0,SRV+Double+Triple,3
alternative,test,2H,0.1523,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0058,SRV+Double+Triple,3
null,reference,2H,0.0044,SRV+Double+Triple,3
null,reference,3H,0.0,SRV+Double+Triple,3
null,test,2H,0.1045,SRV+Double+Triple,3
null,test,2H,0.1524,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.0619,SRV+Double+Triple,4
alternative,reference,2H,0.0046,SRV+Double+Triple,4
alternative,reference,3H,0.0,SRV+Double+Triple,4
alternative,test,2H,0.1525,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0061,SRV+Double+Triple,4
null,reference,2H,0.0044,SRV+Double+Triple,4
null,reference,3H,0.0,SRV+Double+Triple,4
null,test,2H,0.105,SRV+Double+Triple,4
null,test,2H,0.1506,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.0623,SRV+Double+Triple,5
alternative,reference,2H,0.0045,SRV+Double+Triple,5
alternative,reference,3H,0.0,SRV+Double+Triple,5
alternative,test,2H,0.1523,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.006,SRV+Double+Triple,5
null,reference,2H,0.0045,SRV+Double+Triple,5
null,reference,3H,0.0,SRV+Double+Triple,5
null,test,2H,0.1048,SRV+Double+Triple,5
null,test,2H,0.1516,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.0623,SRV+Double+Triple,6
alternative,reference,2H,0.0044,SRV+Double+Triple,6
alternative,reference,3H,0.0,SRV+Double+Triple,6
alternative,test,2H,0.152,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.0058,SRV+Double+Triple,6
null,reference,2H,0.0044,SRV+Double+Triple,6
null,reference,3H,0.0,SRV+Double+Triple,6
null,test,2H,0.1047,SRV+Double+Triple,6
null,test,2H,0.1519,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.0629,SRV+Double+Triple,7
alternative,reference,2H,0.0045,SRV+Double+Triple,7
alternative,reference,3H,0.0,SRV+Double+Triple,7
alternative,test,2H,0.1518,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.0057,SRV+Double+Triple,7
null,reference,2H,0.0044,SRV+Double+Triple,7
null,reference,3H,0.0,SRV+Double+Triple,7
null,test,2H,0.1049,SRV+Double+Triple,7
null,test,2H,0.1518,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.0622,SRV+Double+Triple,8
alternative,reference,2H,0.0046,SRV+Double+Triple,8
alternative,reference,3H,0.0,SRV+Double+Triple,8
alternative,test,2H,0.1518,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.0061,SRV+Double+Triple,8
null,reference,2H,0.0045,SRV+Double+Triple,8
null,reference,3H,0.0,SRV+Double+Triple,8
null,test,2H,0.1039,SRV+Double+Triple,8
null,test,2H,0.1515,SRV+Double+Triple,8
null,test,3H,0.0,SRV+Double+Triple,8
alternative,reference,2H,0.0618,SRV+Double+Triple,9
alternative,reference,2H,0.0044,SRV+Double+Triple,9
alternative,reference,3H,0.0,SRV+Double+Triple,9
alternative,test,2H,0.1519,SRV+Double+Triple,9
alternative,test,3H,0.0,SRV+Double+Triple,9
null,reference,2H,0.0062,SRV+Double+Triple,9
null,reference,2H,0.0045,SRV+Double+Triple,9
null,reference,3H,0.0,SRV+Double+Triple,9
null,test,2H,0.1031,SRV+Double+Triple,9
null,test,2H,0.1521,SRV+Double+Triple,9
