replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.8821,1.21,-4730.02,9522.58,31,-4730.03,9520.57,30,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.4541,1.21,-4729.12,9518.75,30,-4729.4,9517.28,29,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.5165,1.1,-4729.19,9518.89,30,-4729.4,9517.28,29,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.4485,1.21,-4730.02,9520.55,30,-4730.31,9519.09,29,0.192,0.1323,Convergence/flat likelihood
5,SRV,0.4485,1.21,-4730.02,9520.55,30,-4730.31,9519.09,29,0.192,0.1323,Convergence/flat likelihood
6,SRV,0.4506,1.21,-4729.12,9518.74,30,-4729.4,9517.28,29,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.4511,1.21,-4729.12,9518.74,30,-4729.4,9517.28,29,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.4489,1.21,-4730.02,9520.55,30,-4730.31,9519.09,29,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.4594,1.17,-4729.13,9518.76,30,-4729.4,9517.28,29,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.4485,1.21,-4730.02,9520.55,30,-4730.31,9519.09,29,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.4243,1.23,-4729.01,9522.59,32,-4729.33,9521.19,31,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.4222,1.23,-4729.01,9522.58,32,-4729.33,9521.19,31,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.4175,1.23,-4729.89,9524.35,32,-4730.22,9522.97,31,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.4238,1.23,-4729.01,9522.59,32,-4729.33,9521.2,31,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.4174,1.23,-4729.89,9524.35,32,-4730.22,9522.97,31,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.4174,1.23,-4729.89,9524.35,32,-4730.22,9522.97,31,0.192,0.1323,Convergence/flat likelihood
7,SRV+Double,0.4221,1.23,-4729.01,9522.58,32,-4729.33,9521.19,31,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.4179,1.22,-4729.89,9524.35,32,-4730.22,9522.97,31,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.4175,1.23,-4729.89,9524.35,32,-4730.22,9522.97,31,0.192,0.1323,Convergence/flat likelihood
10,SRV+Double,0.4175,1.23,-4729.89,9524.35,32,-4730.22,9522.97,31,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.4175,1.23,-4729.89,9528.42,34,-4730.22,9527.04,33,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.4236,1.23,-4729.01,9526.66,34,-4729.33,9525.26,33,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.4174,1.23,-4729.89,9528.42,34,-4730.22,9527.04,33,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.4172,1.23,-4729.89,9528.42,34,-4730.22,9527.04,33,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.4172,1.23,-4729.89,9528.42,34,-4730.22,9527.04,33,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.4174,1.23,-4729.89,9528.42,34,-4730.22,9527.04,33,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.4175,1.23,-4729.89,9528.42,34,-4730.22,9527.04,33,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.4171,1.23,-4729.89,9528.42,34,-4730.22,9527.04,33,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.4172,1.23,-4729.89,9528.42,34,-4730.22,9527.04,33,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.4174,1.23,-4729.89,9528.42,34,-4730.22,9527.04,33,0.192,0.1323,Convergence/flat likelihood; Collapsed rate class
