run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,962523.891,,0.025
SRV,1,alternative,reference,omega,Negative selection,0.175,,4.319
SRV,1,alternative,reference,omega,Negative selection,0.176,,95.656
SRV,1,alternative,test,omega,Diversifying selection,2196695.687,,0.025
SRV,1,alternative,test,omega,Diversifying selection,962523.891,,0.025
SRV,1,alternative,test,omega,Negative selection,0.157,,4.319
SRV,1,alternative,test,omega,Negative selection,0.158,,95.656
SRV,1,alternative,test,omega,Negative selection,0.175,,4.319
SRV,1,alternative,test,omega,Negative selection,0.176,,95.656
SRV,1,null,reference,omega,Diversifying selection,1280646.304,,0.025
SRV,1,null,reference,omega,Negative selection,0.169,,4.316
SRV,1,null,reference,omega,Negative selection,0.171,,95.659
SRV,1,null,test,omega,Diversifying selection,1280646.304,,0.025
SRV,1,null,test,omega,Negative selection,0.169,,4.316
SRV,1,null,test,omega,Negative selection,0.171,,95.659
SRV,2,alternative,reference,omega,Diversifying selection,2.346,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.173,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.177,,100.0
SRV,2,alternative,test,omega,Diversifying selection,2.48,,0.0
SRV,2,alternative,test,omega,Diversifying selection,2.346,,0.0
SRV,2,alternative,test,omega,Negative selection,0.136,,0.0
SRV,2,alternative,test,omega,Negative selection,0.159,,100.0
SRV,2,alternative,test,omega,Negative selection,0.173,,0.0
SRV,2,alternative,test,omega,Negative selection,0.177,,100.0
SRV,2,null,reference,omega,Diversifying selection,4.605,,0.0
SRV,2,null,reference,omega,Negative selection,0.174,,63.176
SRV,2,null,reference,omega,Negative selection,0.184,,36.824
SRV,2,null,test,omega,Diversifying selection,4.605,,0.0
SRV,2,null,test,omega,Negative selection,0.174,,63.176
SRV,2,null,test,omega,Negative selection,0.184,,36.824
SRV,3,alternative,reference,omega,Diversifying selection,843114.19,,0.025
SRV,3,alternative,reference,omega,Negative selection,0.175,,1.167
SRV,3,alternative,reference,omega,Negative selection,0.175,,98.808
SRV,3,alternative,test,omega,Diversifying selection,1852224.045,,0.025
SRV,3,alternative,test,omega,Diversifying selection,843114.19,,0.025
SRV,3,alternative,test,omega,Negative selection,0.158,,1.167
SRV,3,alternative,test,omega,Negative selection,0.159,,98.808
SRV,3,alternative,test,omega,Negative selection,0.175,,1.167
SRV,3,alternative,test,omega,Negative selection,0.175,,98.808
SRV,3,null,reference,omega,Diversifying selection,1088040.492,,0.025
SRV,3,null,reference,omega,Negative selection,0.171,,98.829
SRV,3,null,reference,omega,Negative selection,0.176,,1.146
SRV,3,null,test,omega,Diversifying selection,1088040.492,,0.025
SRV,3,null,test,omega,Negative selection,0.171,,98.829
SRV,3,null,test,omega,Negative selection,0.176,,1.146
SRV,4,alternative,reference,omega,Diversifying selection,1.055,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.176,,78.187
SRV,4,alternative,reference,omega,Negative selection,0.183,,21.813
SRV,4,alternative,test,omega,Diversifying selection,1.059,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.055,,0.0
SRV,4,alternative,test,omega,Negative selection,0.157,,78.187
SRV,4,alternative,test,omega,Negative selection,0.164,,21.813
SRV,4,alternative,test,omega,Negative selection,0.176,,78.187
SRV,4,alternative,test,omega,Negative selection,0.183,,21.813
SRV,4,null,reference,omega,Diversifying selection,1.969,,0.0
SRV,4,null,reference,omega,Negative selection,0.172,,100.0
SRV,4,null,reference,omega,Negative selection,0.181,,0.0
SRV,4,null,test,omega,Diversifying selection,1.969,,0.0
SRV,4,null,test,omega,Negative selection,0.172,,100.0
SRV,4,null,test,omega,Negative selection,0.181,,0.0
SRV,5,alternative,reference,omega,Diversifying selection,1.414,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.001,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.177,,100.0
SRV,5,alternative,test,omega,Diversifying selection,1.445,,0.0
SRV,5,alternative,test,omega,Diversifying selection,1.414,,0.0
SRV,5,alternative,test,omega,Negative selection,0.001,,0.0
SRV,5,alternative,test,omega,Negative selection,0.159,,100.0
SRV,5,alternative,test,omega,Negative selection,0.001,,0.0
