model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.001,15.222,SRV,1
null,2,0.001,28.693,SRV,1
null,3,1.782,56.086,SRV,1
null,1,0.0,34.331,SRV,2
null,2,0.0,10.503,SRV,2
null,3,1.813,55.166,SRV,2
null,1,0.002,15.412,SRV,3
null,2,0.002,28.506,SRV,3
null,3,1.782,56.082,SRV,3
null,1,0.0,3.122,SRV,4
null,2,0.0,41.669,SRV,4
null,3,1.811,55.209,SRV,4
null,1,0.0,12.241,SRV,5
null,2,0.0,32.561,SRV,5
null,3,1.812,55.198,SRV,5
null,1,0.0,32.246,SRV,6
null,2,0.0,12.541,SRV,6
null,3,1.811,55.214,SRV,6
null,1,0.0,30.866,SRV,7
null,2,0.0,12.248,SRV,7
null,3,1.758,56.886,SRV,7
null,1,0.001,32.767,SRV,8
null,2,0.001,11.121,SRV,8
null,3,1.781,56.111,SRV,8
null,1,0.0,10.565,SRV,9
null,2,0.0,33.298,SRV,9
null,3,1.781,56.138,SRV,9
null,1,0.001,11.312,SRV,10
null,2,0.001,32.605,SRV,10
null,3,1.782,56.083,SRV,10
