replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.1071,0.78,-6838.91,13758.22,40,-6840.21,13758.8,39,0.1628,0.2427,Convergence/flat likelihood
2,SRV,0.107,0.78,-6838.91,13758.22,40,-6840.21,13758.8,39,0.1628,0.2427,Convergence/flat likelihood
3,SRV,0.1069,0.77,-6838.91,13758.21,40,-6840.21,13758.79,39,0.1628,0.2427,Convergence/flat likelihood
4,SRV,0.1067,0.78,-6838.91,13758.22,40,-6840.21,13758.8,39,0.1628,0.2427,Convergence/flat likelihood
5,SRV,0.106,0.78,-6838.91,13758.21,40,-6840.21,13758.8,39,0.1628,0.2427,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.1088,0.77,-6838.92,13758.24,40,-6840.21,13758.79,39,0.1628,0.2428,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.1066,0.78,-6838.91,13758.22,40,-6840.21,13758.8,39,0.1628,0.2427,Convergence/flat likelihood
8,SRV,0.1084,0.77,-6838.92,13758.23,40,-6840.21,13758.79,39,0.1628,0.2427,Convergence/flat likelihood
9,SRV,0.9083,0.71,-6838.89,13760.19,41,-6838.89,13758.18,40,0.1628,0.2427,
10,SRV,0.1089,0.77,-6838.92,13758.24,40,-6840.21,13758.79,39,0.1628,0.2427,Convergence/flat likelihood
1,SRV+Double,0.1513,0.79,-6838.79,13762.02,42,-6839.82,13762.06,41,0.1628,0.2427,Convergence/flat likelihood
2,SRV+Double,0.1509,0.8,-6838.79,13762.02,42,-6839.82,13762.06,41,0.1628,0.2427,Convergence/flat likelihood
3,SRV+Double,0.1514,0.79,-6838.8,13762.04,42,-6839.83,13762.08,41,0.1628,0.2427,Convergence/flat likelihood
4,SRV+Double,0.1529,0.79,-6838.82,13762.07,42,-6839.84,13762.09,41,0.1628,0.2427,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.1508,0.8,-6838.79,13762.02,42,-6839.82,13762.06,41,0.1628,0.2427,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.1525,0.79,-6838.81,13762.06,42,-6839.84,13762.08,41,0.1628,0.2427,Convergence/flat likelihood
7,SRV+Double,0.1505,0.8,-6838.79,13762.02,42,-6839.82,13762.06,41,0.1628,0.2427,Convergence/flat likelihood
8,SRV+Double,0.1508,0.79,-6838.81,13762.05,42,-6839.84,13762.09,41,0.1628,0.2427,Convergence/flat likelihood
9,SRV+Double,0.1503,0.8,-6838.79,13762.01,42,-6839.83,13762.06,41,0.1628,0.2427,Convergence/flat likelihood
10,SRV+Double,0.6942,0.7,-6838.73,13763.91,43,-6838.8,13762.04,42,0.1628,0.2427,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.6709,0.69,-6838.73,13767.95,45,-6838.82,13766.11,44,0.1628,0.2427,Collapsed rate class
2,SRV+Double+Triple,0.1509,0.8,-6838.8,13766.08,44,-6839.83,13766.12,43,0.1628,0.2427,Convergence/flat likelihood
3,SRV+Double+Triple,0.152,0.79,-6838.8,13766.07,44,-6839.83,13766.11,43,0.1628,0.2427,Convergence/flat likelihood
4,SRV+Double+Triple,0.1503,0.8,-6838.79,13766.06,44,-6839.83,13766.11,43,0.1628,0.2427,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.1505,0.8,-6838.79,13766.06,44,-6839.83,13766.11,43,0.1628,0.2427,Convergence/flat likelihood
6,SRV+Double+Triple,0.1537,0.79,-6838.82,13766.11,44,-6839.83,13766.12,43,0.1628,0.2427,Convergence/flat likelihood
7,SRV+Double+Triple,0.1503,0.8,-6838.79,13766.06,44,-6839.83,13766.11,43,0.1628,0.2427,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.1503,0.8,-6838.79,13766.06,44,-6839.82,13766.1,43,0.1628,0.2427,Convergence/flat likelihood
9,SRV+Double+Triple,0.1512,0.8,-6838.79,13766.06,44,-6839.82,13766.1,43,0.1628,0.2427,Convergence/flat likelihood
10,SRV+Double+Triple,0.1504,0.8,-6838.79,13766.06,44,-6839.83,13766.11,43,0.1628,0.2427,Convergence/flat likelihood
