model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.284,28.741,SRV,1
null,2,0.439,28.292,SRV,1
null,3,1.848,42.966,SRV,1
null,1,0.282,30.18,SRV,2
null,2,0.452,26.841,SRV,2
null,3,1.846,42.979,SRV,2
null,1,0.246,27.611,SRV,3
null,2,0.494,30.304,SRV,3
null,3,1.859,42.085,SRV,3
null,1,0.266,26.344,SRV,4
null,2,0.448,30.849,SRV,4
null,3,1.849,42.808,SRV,4
null,1,0.27,29.577,SRV,5
null,2,0.47,27.807,SRV,5
null,3,1.852,42.616,SRV,5
null,1,0.284,30.443,SRV,6
null,2,0.449,26.532,SRV,6
null,3,1.846,43.025,SRV,6
null,1,0.262,27.156,SRV,7
null,2,0.461,30.2,SRV,7
null,3,1.851,42.645,SRV,7
null,1,0.316,42.54,SRV,8
null,2,0.491,14.376,SRV,8
null,3,1.846,43.084,SRV,8
alternative,1,0.297,33.825,SRV,9
alternative,2,0.442,22.57,SRV,9
alternative,3,1.834,43.606,SRV,9
null,1,0.292,33.629,SRV,9
null,2,0.456,23.009,SRV,9
null,3,1.838,43.362,SRV,9
null,1,0.279,29.342,SRV,10
null,2,0.452,27.765,SRV,10
null,3,1.848,42.893,SRV,10
