run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.343,,3.772
SRV,1,alternative,reference,omega,Negative selection,0.184,,93.83
SRV,1,alternative,reference,omega,Negative selection,0.195,,2.398
SRV,1,alternative,test,omega,Diversifying selection,18.913,,3.772
SRV,1,alternative,test,omega,Diversifying selection,1.343,,3.772
SRV,1,alternative,test,omega,Negative selection,0.0,,93.83
SRV,1,alternative,test,omega,Negative selection,0.0,,2.398
SRV,1,alternative,test,omega,Negative selection,0.184,,93.83
SRV,1,alternative,test,omega,Negative selection,0.195,,2.398
SRV,1,null,reference,omega,Diversifying selection,6.182,,0.468
SRV,1,null,reference,omega,Negative selection,0.208,,98.487
SRV,1,null,reference,omega,Negative selection,0.219,,1.045
SRV,1,null,test,omega,Diversifying selection,6.182,,0.468
SRV,1,null,test,omega,Negative selection,0.208,,98.487
SRV,1,null,test,omega,Negative selection,0.219,,1.045
SRV,2,alternative,reference,omega,Diversifying selection,1.53,,3.194
SRV,2,alternative,reference,omega,Negative selection,0.173,,18.099
SRV,2,alternative,reference,omega,Negative selection,0.189,,78.707
SRV,2,alternative,test,omega,Diversifying selection,22.157,,3.194
SRV,2,alternative,test,omega,Diversifying selection,1.53,,3.194
SRV,2,alternative,test,omega,Negative selection,0.0,,18.099
SRV,2,alternative,test,omega,Negative selection,0.0,,78.707
SRV,2,alternative,test,omega,Negative selection,0.173,,18.099
SRV,2,alternative,test,omega,Negative selection,0.189,,78.707
SRV,2,null,reference,omega,Diversifying selection,6.318,,0.458
SRV,2,null,reference,omega,Negative selection,0.208,,95.39
SRV,2,null,reference,omega,Negative selection,0.228,,4.152
SRV,2,null,test,omega,Diversifying selection,6.318,,0.458
SRV,2,null,test,omega,Negative selection,0.208,,95.39
SRV,2,null,test,omega,Negative selection,0.228,,4.152
SRV,3,alternative,reference,omega,Diversifying selection,4.445,,0.576
SRV,3,alternative,reference,omega,Negative selection,0.17,,11.885
SRV,3,alternative,reference,omega,Negative selection,0.211,,87.539
SRV,3,alternative,test,omega,Diversifying selection,1.65,,0.576
SRV,3,alternative,test,omega,Diversifying selection,4.445,,0.576
SRV,3,alternative,test,omega,Negative selection,0.551,,11.885
SRV,3,alternative,test,omega,Negative selection,0.593,,87.539
SRV,3,alternative,test,omega,Negative selection,0.17,,11.885
SRV,3,alternative,test,omega,Negative selection,0.211,,87.539
SRV,3,null,reference,omega,Diversifying selection,6.255,,0.462
SRV,3,null,reference,omega,Negative selection,0.188,,10.116
SRV,3,null,reference,omega,Negative selection,0.211,,89.422
SRV,3,null,test,omega,Diversifying selection,6.255,,0.462
SRV,3,null,test,omega,Negative selection,0.188,,10.116
SRV,3,null,test,omega,Negative selection,0.211,,89.422
SRV,4,alternative,reference,omega,Diversifying selection,4.275,,0.614
SRV,4,alternative,reference,omega,Negative selection,0.204,,96.128
SRV,4,alternative,reference,omega,Negative selection,0.231,,3.259
SRV,4,alternative,test,omega,Diversifying selection,1.623,,0.614
SRV,4,alternative,test,omega,Diversifying selection,4.275,,0.614
SRV,4,alternative,test,omega,Negative selection,0.589,,96.128
SRV,4,alternative,test,omega,Negative selection,0.614,,3.259
SRV,4,alternative,test,omega,Negative selection,0.204,,96.128
SRV,4,alternative,test,omega,Negative selection,0.231,,3.259
SRV,4,null,reference,omega,Diversifying selection,6.174,,0.47
SRV,4,null,reference,omega,Negative selection,0.208,,96.277
SRV,4,null,reference,omega,Negative selection,0.225,,3.253
SRV,4,null,test,omega,Diversifying selection,6.174,,0.47
SRV,4,null,test,omega,Negative selection,0.208,,96.277
SRV,4,null,test,omega,Negative selection,0.225,,3.253
SRV,5,alternative,reference,omega,Diversifying selection,1.416,,3.537
SRV,5,alternative,reference,omega,Negative selection,0.185,,94.295
SRV,5,alternative,reference,omega,Negative selection,0.191,,2.167
SRV,5,alternative,test,omega,Diversifying selection,20.046,,3.537
SRV,5,alternative,test,omega,Diversifying selection,1.416,,3.537
SRV,5,alternative,test,omega,Negative selection,0.0,,94.295
SRV,5,alternative,test,omega,Negative selection,0.0,,2.167
SRV,5,alternative,test,omega,Negative selection,0.185,,94.295
SRV,5,alternative,test,omega,Negative selection,0.191,,2.167
SRV,5,null,reference,omega,Diversifying selection,6.245,,0.463
SRV,5,null,reference,omega,Negative selection,0.208,,98.576
SRV,5,null,reference,omega,Negative selection,0.222,,0.961
SRV,5,null,test,omega,Diversifying selection,6.245,,0.463
SRV,5,null,test,omega,Negative selection,0.208,,98.576
SRV,5,null,test,omega,Negative selection,0.222,,0.961
SRV,6,alternative,reference,omega,Diversifying selection,1.186,,4.354
SRV,6,alternative,reference,omega,Negative selection,0.162,,31.889
SRV,6,alternative,reference,omega,Negative selection,0.193,,63.756
SRV,6,alternative,test,omega,Diversifying selection,16.154,,4.354
SRV,6,alternative,test,omega,Diversifying selection,1.186,,4.354
SRV,6,alternative,test,omega,Negative selection,0.0,,31.889
SRV,6,alternative,test,omega,Negative selection,0.0,,63.756
SRV,6,alternative,test,omega,Negative selection,0.162,,31.889
SRV,6,alternative,test,omega,Negative selection,0.193,,63.756
SRV,6,null,reference,omega,Diversifying selection,6.246,,0.46
SRV,6,null,reference,omega,Negative selection,0.208,,95.326
SRV,6,null,reference,omega,Negative selection,0.236,,4.214
SRV,6,null,test,omega,Diversifying selection,6.246,,0.46
SRV,6,null,test,omega,Negative selection,0.208,,95.326
SRV,6,null,test,omega,Negative selection,0.236,,4.214
SRV,7,alternative,reference,omega,Diversifying selection,1.169,,4.398
SRV,7,alternative,reference,omega,Negative selection,0.17,,33.37
SRV,7,alternative,reference,omega,Negative selection,0.189,,62.232
SRV,7,alternative,test,omega,Diversifying selection,16.316,,4.398
SRV,7,alternative,test,omega,Diversifying selection,1.169,,4.398
SRV,7,alternative,test,omega,Negative selection,0.0,,33.37
SRV,7,alternative,test,omega,Negative selection,0.0,,62.232
SRV,7,alternative,test,omega,Negative selection,0.17,,33.37
SRV,7,alternative,test,omega,Negative selection,0.189,,62.232
SRV,7,null,reference,omega,Diversifying selection,6.22,,0.464
