model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.12,8.471,SRV,1
null,2,0.864,82.475,SRV,1
null,3,3.061,9.054,SRV,1
null,1,0.12,8.431,SRV,2
null,2,0.864,82.502,SRV,2
null,3,3.06,9.067,SRV,2
null,1,0.119,8.388,SRV,3
null,2,0.863,82.514,SRV,3
null,3,3.054,9.098,SRV,3
null,1,0.121,8.464,SRV,4
null,2,0.864,82.484,SRV,4
null,3,3.062,9.052,SRV,4
null,1,0.122,8.511,SRV,5
null,2,0.864,82.45,SRV,5
null,3,3.063,9.039,SRV,5
null,1,0.121,8.482,SRV,6
null,2,0.864,82.465,SRV,6
null,3,3.062,9.052,SRV,6
null,1,0.124,8.595,SRV,7
null,2,0.865,82.369,SRV,7
null,3,3.065,9.036,SRV,7
null,1,0.12,8.423,SRV,8
null,2,0.863,82.514,SRV,8
null,3,3.061,9.063,SRV,8
null,1,0.121,8.49,SRV,9
null,2,0.864,82.459,SRV,9
null,3,3.063,9.051,SRV,9
null,1,0.121,8.486,SRV,10
null,2,0.864,82.452,SRV,10
null,3,3.058,9.061,SRV,10
