run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Negative selection,0.0,,36.245
SRV,1,alternative,reference,omega,Negative selection,0.2,,54.256
SRV,1,alternative,reference,omega,Neutral evolution,1.0,,9.499
SRV,1,alternative,test,omega,Negative selection,0.0,,36.245
SRV,1,alternative,test,omega,Negative selection,0.135,,54.256
SRV,1,alternative,test,omega,Negative selection,0.0,,36.245
SRV,1,alternative,test,omega,Negative selection,0.2,,54.256
SRV,1,alternative,test,omega,Neutral evolution,1.0,,9.499
SRV,1,alternative,test,omega,Neutral evolution,1.0,,9.499
SRV,1,null,reference,omega,Negative selection,0.0,,37.676
SRV,1,null,reference,omega,Negative selection,0.179,,51.954
SRV,1,null,reference,omega,Neutral evolution,1.0,,10.369
SRV,1,null,test,omega,Negative selection,0.0,,37.676
SRV,1,null,test,omega,Negative selection,0.179,,51.954
SRV,1,null,test,omega,Neutral evolution,1.0,,10.369
SRV,2,alternative,reference,omega,Negative selection,0.101,,61.374
SRV,2,alternative,reference,omega,Negative selection,0.123,,27.901
SRV,2,alternative,reference,omega,Neutral evolution,1.0,,10.724
SRV,2,alternative,test,omega,Negative selection,0.065,,61.374
SRV,2,alternative,test,omega,Negative selection,0.082,,27.901
SRV,2,alternative,test,omega,Negative selection,0.101,,61.374
SRV,2,alternative,test,omega,Negative selection,0.123,,27.901
SRV,2,alternative,test,omega,Neutral evolution,1.0,,10.724
SRV,2,alternative,test,omega,Neutral evolution,1.0,,10.724
SRV,2,null,reference,omega,Negative selection,0.078,,32.228
SRV,2,null,reference,omega,Negative selection,0.093,,55.764
SRV,2,null,reference,omega,Neutral evolution,1.0,,12.008
SRV,2,null,test,omega,Negative selection,0.078,,32.228
SRV,2,null,test,omega,Negative selection,0.093,,55.764
SRV,2,null,test,omega,Neutral evolution,1.0,,12.008
SRV,3,alternative,reference,omega,Negative selection,0.0,,45.191
SRV,3,alternative,reference,omega,Negative selection,0.251,,46.018
SRV,3,alternative,reference,omega,Neutral evolution,1.0,,8.791
SRV,3,alternative,test,omega,Negative selection,0.0,,45.191
SRV,3,alternative,test,omega,Negative selection,0.174,,46.018
SRV,3,alternative,test,omega,Negative selection,0.0,,45.191
SRV,3,alternative,test,omega,Negative selection,0.251,,46.018
SRV,3,alternative,test,omega,Neutral evolution,1.0,,8.791
SRV,3,alternative,test,omega,Neutral evolution,1.0,,8.791
SRV,3,null,reference,omega,Negative selection,0.0,,47.353
SRV,3,null,reference,omega,Negative selection,0.234,,43.115
SRV,3,null,reference,omega,Neutral evolution,1.0,,9.532
SRV,3,null,test,omega,Negative selection,0.0,,47.353
SRV,3,null,test,omega,Negative selection,0.234,,43.115
SRV,3,null,test,omega,Neutral evolution,1.0,,9.532
SRV,4,alternative,reference,omega,Negative selection,0.0,,57.114
SRV,4,alternative,reference,omega,Negative selection,0.386,,36.727
SRV,4,alternative,reference,omega,Neutral evolution,1.0,,6.159
SRV,4,alternative,test,omega,Negative selection,0.0,,57.114
SRV,4,alternative,test,omega,Negative selection,0.283,,36.727
SRV,4,alternative,test,omega,Negative selection,0.0,,57.114
SRV,4,alternative,test,omega,Negative selection,0.386,,36.727
SRV,4,alternative,test,omega,Neutral evolution,1.0,,6.159
SRV,4,alternative,test,omega,Neutral evolution,1.0,,6.159
SRV,4,null,reference,omega,Diversifying selection,1.01,,0.0
SRV,4,null,reference,omega,Negative selection,0.0,,64.667
SRV,4,null,reference,omega,Negative selection,0.552,,35.333
SRV,4,null,test,omega,Diversifying selection,1.01,,0.0
SRV,4,null,test,omega,Negative selection,0.0,,64.667
