model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.1355,SRV+Double,1
alternative,reference,2H,0.0948,SRV+Double,1
alternative,test,2H,0.1852,SRV+Double,1
null,reference,2H,0.0731,SRV+Double,1
null,reference,2H,0.0824,SRV+Double,1
null,test,2H,0.029,SRV+Double,1
null,test,2H,0.2131,SRV+Double,1
alternative,reference,2H,0.136,SRV+Double,2
alternative,reference,2H,0.0906,SRV+Double,2
alternative,test,2H,0.1691,SRV+Double,2
null,reference,2H,0.073,SRV+Double,2
null,reference,2H,0.0827,SRV+Double,2
null,test,2H,0.0297,SRV+Double,2
null,test,2H,0.2142,SRV+Double,2
alternative,reference,2H,0.1156,SRV+Double,3
alternative,reference,2H,0.0352,SRV+Double,3
alternative,test,2H,0.1048,SRV+Double,3
null,reference,2H,0.0321,SRV+Double,3
null,reference,2H,0.0319,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
null,test,2H,0.2158,SRV+Double,3
alternative,reference,2H,0.127,SRV+Double,4
alternative,reference,2H,0.0912,SRV+Double,4
alternative,test,2H,0.1888,SRV+Double,4
null,reference,2H,0.077,SRV+Double,4
null,reference,2H,0.0795,SRV+Double,4
null,test,2H,0.0449,SRV+Double,4
null,test,2H,0.2172,SRV+Double,4
alternative,reference,2H,0.1241,SRV+Double,5
alternative,reference,2H,0.091,SRV+Double,5
alternative,test,2H,0.1876,SRV+Double,5
null,reference,2H,0.0757,SRV+Double,5
null,reference,2H,0.079,SRV+Double,5
null,test,2H,0.0395,SRV+Double,5
null,test,2H,0.2166,SRV+Double,5
alternative,reference,2H,0.1279,SRV+Double,6
alternative,reference,2H,0.09,SRV+Double,6
alternative,test,2H,0.1844,SRV+Double,6
null,reference,2H,0.0758,SRV+Double,6
null,reference,2H,0.0791,SRV+Double,6
null,test,2H,0.0398,SRV+Double,6
null,test,2H,0.2142,SRV+Double,6
alternative,reference,2H,0.1321,SRV+Double,7
alternative,reference,2H,0.083,SRV+Double,7
alternative,test,2H,0.1388,SRV+Double,7
null,reference,2H,0.0739,SRV+Double,7
null,reference,2H,0.0812,SRV+Double,7
null,test,2H,0.0317,SRV+Double,7
null,test,2H,0.2127,SRV+Double,7
alternative,reference,2H,0.1324,SRV+Double,8
alternative,reference,2H,0.0895,SRV+Double,8
alternative,test,2H,0.1833,SRV+Double,8
null,reference,2H,0.0763,SRV+Double,8
null,reference,2H,0.0792,SRV+Double,8
null,test,2H,0.0405,SRV+Double,8
null,test,2H,0.2141,SRV+Double,8
alternative,reference,2H,0.1379,SRV+Double,9
alternative,reference,2H,0.0858,SRV+Double,9
alternative,test,2H,0.1443,SRV+Double,9
null,reference,2H,0.0728,SRV+Double,9
null,reference,2H,0.0767,SRV+Double,9
null,test,2H,0.0264,SRV+Double,9
null,test,2H,0.2164,SRV+Double,9
alternative,reference,2H,0.1293,SRV+Double,10
alternative,reference,2H,0.0868,SRV+Double,10
alternative,test,2H,0.1543,SRV+Double,10
null,reference,2H,0.0751,SRV+Double,10
null,reference,2H,0.0817,SRV+Double,10
null,test,2H,0.0374,SRV+Double,10
null,test,2H,0.2133,SRV+Double,10
alternative,reference,2H,0.1331,SRV+Double+Triple,1
alternative,reference,2H,0.0911,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.1883,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0757,SRV+Double+Triple,1
null,reference,2H,0.0763,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.0371,SRV+Double+Triple,1
null,test,2H,0.2142,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.1247,SRV+Double+Triple,2
alternative,reference,2H,0.0875,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.1751,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0773,SRV+Double+Triple,2
null,reference,2H,0.0767,SRV+Double+Triple,2
null,reference,3H,0.0,SRV+Double+Triple,2
null,test,2H,0.0425,SRV+Double+Triple,2
null,test,2H,0.214,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.1373,SRV+Double+Triple,3
alternative,reference,2H,0.094,SRV+Double+Triple,3
alternative,reference,3H,0.0,SRV+Double+Triple,3
alternative,test,2H,0.1817,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0745,SRV+Double+Triple,3
null,reference,2H,0.0795,SRV+Double+Triple,3
null,reference,3H,0.0,SRV+Double+Triple,3
null,test,2H,0.0321,SRV+Double+Triple,3
