replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.3125,1.24,-7154.89,14386.19,38,-7155.4,14385.19,37,0.206,0.1697,Convergence/flat likelihood
2,SRV,0.3228,1.19,-7154.96,14386.32,38,-7155.45,14385.28,37,0.206,0.1697,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.3142,1.27,-7154.86,14386.13,38,-7155.37,14385.12,37,0.2061,0.1695,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.3758,1.32,-7154.8,14386.0,38,-7155.19,14384.76,37,0.206,0.1697,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.337,1.36,-7154.76,14385.92,38,-7155.22,14384.82,37,0.2061,0.1694,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.3431,1.31,-7154.74,14385.89,38,-7155.19,14384.77,37,0.2061,0.1694,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.3607,1.34,-7154.78,14385.95,38,-7155.19,14384.77,37,0.206,0.1695,Convergence/flat likelihood; Collapsed rate class
8,SRV,1.0,1.16,-7154.94,14388.31,39,-7154.88,14386.15,38,0.2061,0.1695,Convergence/flat likelihood
9,SRV,0.3418,1.29,-7154.75,14385.91,38,-7155.21,14384.79,37,0.206,0.1697,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.3147,1.22,-7154.92,14386.24,38,-7155.42,14385.23,37,0.206,0.1697,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.2548,1.19,-7153.77,14387.98,40,-7154.42,14387.25,39,0.206,0.1697,Convergence/flat likelihood
2,SRV+Double,0.2561,1.2,-7153.78,14387.99,40,-7154.42,14387.26,39,0.2061,0.1695,Convergence/flat likelihood
3,SRV+Double,0.2946,1.32,-7153.19,14386.83,40,-7153.74,14385.91,39,0.206,0.1697,Convergence/flat likelihood
4,SRV+Double,0.226,1.22,-7153.7,14387.84,40,-7154.43,14387.29,39,0.206,0.1697,Convergence/flat likelihood
5,SRV+Double,0.2357,1.23,-7153.7,14387.84,40,-7154.4,14387.22,39,0.206,0.1697,Convergence/flat likelihood
6,SRV+Double,0.2353,1.23,-7153.69,14387.83,40,-7154.4,14387.22,39,0.206,0.1697,Convergence/flat likelihood
7,SRV+Double,0.2595,1.21,-7153.74,14387.93,40,-7154.38,14387.18,39,0.206,0.1697,Convergence/flat likelihood
8,SRV+Double,0.2369,1.23,-7153.69,14387.82,40,-7154.39,14387.2,39,0.206,0.1697,Convergence/flat likelihood
9,SRV+Double,0.2981,1.2,-7153.79,14388.02,40,-7154.33,14387.08,39,0.2061,0.1695,Convergence/flat likelihood
10,SRV+Double,0.2545,1.2,-7153.75,14387.95,40,-7154.4,14387.23,39,0.2061,0.1695,Convergence/flat likelihood
1,SRV+Double+Triple,0.2616,1.23,-7153.7,14391.89,42,-7154.33,14391.12,41,0.2061,0.1695,Convergence/flat likelihood
2,SRV+Double+Triple,0.2598,1.24,-7153.7,14391.88,42,-7154.33,14391.13,41,0.206,0.1697,Convergence/flat likelihood
3,SRV+Double+Triple,0.2797,1.2,-7153.76,14392.01,42,-7154.35,14391.16,41,0.206,0.1697,Convergence/flat likelihood
4,SRV+Double+Triple,0.2239,1.19,-7153.79,14392.07,42,-7154.53,14391.53,41,0.206,0.1697,Convergence/flat likelihood
5,SRV+Double+Triple,0.2448,1.23,-7153.7,14391.88,42,-7154.37,14391.21,41,0.206,0.1697,Convergence/flat likelihood
6,SRV+Double+Triple,0.2809,1.21,-7153.74,14391.98,42,-7154.33,14391.12,41,0.206,0.1697,Convergence/flat likelihood
7,SRV+Double+Triple,0.2562,1.24,-7153.69,14391.87,42,-7154.34,14391.14,41,0.206,0.1697,Convergence/flat likelihood
8,SRV+Double+Triple,0.2455,1.19,-7153.8,14392.1,42,-7154.48,14391.42,41,0.206,0.1697,Convergence/flat likelihood
9,SRV+Double+Triple,0.272,1.21,-7153.73,14391.95,42,-7154.33,14391.14,41,0.2061,0.1696,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.2361,1.23,-7153.69,14391.88,42,-7154.4,14391.26,41,0.206,0.1697,Convergence/flat likelihood
