model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,99.106,0.067,SRV,1
alternative,reference,Negative selection,0.211,0.635,SRV,1
alternative,reference,Negative selection,0.211,99.298,SRV,1
alternative,test,Diversifying selection,99.512,0.067,SRV,1
alternative,test,Diversifying selection,99.106,0.067,SRV,1
alternative,test,Negative selection,0.21,0.635,SRV,1
alternative,test,Negative selection,0.211,99.298,SRV,1
alternative,test,Negative selection,0.211,0.635,SRV,1
alternative,test,Negative selection,0.211,99.298,SRV,1
null,reference,Diversifying selection,99.78,0.067,SRV,1
null,reference,Negative selection,0.211,0.635,SRV,1
null,reference,Negative selection,0.211,99.298,SRV,1
null,test,Diversifying selection,99.78,0.067,SRV,1
null,test,Negative selection,0.211,0.635,SRV,1
null,test,Negative selection,0.211,99.298,SRV,1
alternative,reference,Diversifying selection,100.49,0.067,SRV,2
alternative,reference,Negative selection,0.21,95.531,SRV,2
alternative,reference,Negative selection,0.214,4.402,SRV,2
alternative,test,Diversifying selection,99.659,0.067,SRV,2
alternative,test,Diversifying selection,100.49,0.067,SRV,2
alternative,test,Negative selection,0.211,95.531,SRV,2
alternative,test,Negative selection,0.215,4.402,SRV,2
alternative,test,Negative selection,0.21,95.531,SRV,2
alternative,test,Negative selection,0.214,4.402,SRV,2
null,reference,Diversifying selection,100.115,0.067,SRV,2
null,reference,Negative selection,0.21,95.531,SRV,2
null,reference,Negative selection,0.213,4.403,SRV,2
null,test,Diversifying selection,100.115,0.067,SRV,2
null,test,Negative selection,0.21,95.531,SRV,2
null,test,Negative selection,0.213,4.403,SRV,2
alternative,reference,Diversifying selection,97.943,0.067,SRV,3
alternative,reference,Negative selection,0.21,99.473,SRV,3
alternative,reference,Negative selection,0.214,0.459,SRV,3
alternative,test,Diversifying selection,97.099,0.067,SRV,3
alternative,test,Diversifying selection,97.943,0.067,SRV,3
alternative,test,Negative selection,0.211,99.473,SRV,3
alternative,test,Negative selection,0.215,0.459,SRV,3
alternative,test,Negative selection,0.21,99.473,SRV,3
alternative,test,Negative selection,0.214,0.459,SRV,3
null,reference,Diversifying selection,99.477,0.067,SRV,3
null,reference,Negative selection,0.21,99.473,SRV,3
null,reference,Negative selection,0.214,0.459,SRV,3
null,test,Diversifying selection,99.477,0.067,SRV,3
null,test,Negative selection,0.21,99.473,SRV,3
null,test,Negative selection,0.214,0.459,SRV,3
alternative,reference,Diversifying selection,99.357,0.067,SRV,4
alternative,reference,Negative selection,0.21,98.91,SRV,4
alternative,reference,Negative selection,0.227,1.023,SRV,4
alternative,test,Diversifying selection,98.762,0.067,SRV,4
alternative,test,Diversifying selection,99.357,0.067,SRV,4
alternative,test,Negative selection,0.21,98.91,SRV,4
alternative,test,Negative selection,0.227,1.023,SRV,4
alternative,test,Negative selection,0.21,98.91,SRV,4
alternative,test,Negative selection,0.227,1.023,SRV,4
null,reference,Diversifying selection,99.824,0.067,SRV,4
null,reference,Negative selection,0.21,98.91,SRV,4
null,reference,Negative selection,0.212,1.023,SRV,4
null,test,Diversifying selection,99.824,0.067,SRV,4
null,test,Negative selection,0.21,98.91,SRV,4
null,test,Negative selection,0.212,1.023,SRV,4
alternative,reference,Diversifying selection,99.633,0.067,SRV,5
alternative,reference,Negative selection,0.211,99.538,SRV,5
