model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.025,37.658,SRV,1
null,2,0.025,26.66,SRV,1
null,3,2.758,35.682,SRV,1
null,1,0.024,35.458,SRV,2
null,2,0.024,28.812,SRV,2
null,3,2.756,35.73,SRV,2
null,1,0.025,30.071,SRV,3
null,2,0.025,34.252,SRV,3
null,3,2.758,35.677,SRV,3
null,1,0.025,32.731,SRV,4
null,2,0.025,31.578,SRV,4
null,3,2.758,35.69,SRV,4
null,1,0.025,25.504,SRV,5
null,2,0.025,38.807,SRV,5
null,3,2.758,35.689,SRV,5
null,1,0.025,29.05,SRV,6
null,2,0.025,35.267,SRV,6
null,3,2.758,35.683,SRV,6
null,1,0.024,32.593,SRV,7
null,2,0.025,31.723,SRV,7
null,3,2.758,35.684,SRV,7
null,1,0.024,25.834,SRV,8
null,2,0.024,38.447,SRV,8
null,3,2.756,35.719,SRV,8
null,1,0.025,38.834,SRV,9
null,2,0.025,25.485,SRV,9
null,3,2.758,35.681,SRV,9
null,1,0.025,29.852,SRV,10
null,2,0.025,34.482,SRV,10
null,3,2.759,35.666,SRV,10
