replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.0641,13.05,-4876.76,9821.95,34,-4878.48,9823.36,33,0.227,0.5833,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.0579,22.62,-4876.68,9821.78,34,-4878.47,9823.35,33,0.227,0.5846,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.6341,0.69,-4878.36,9825.15,34,-4878.47,9823.35,33,0.2266,0.5811,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.0617,15.34,-4876.73,9821.89,34,-4878.47,9823.35,33,0.227,0.5852,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.0616,15.43,-4876.73,9821.89,34,-4878.47,9823.35,33,0.2269,0.5829,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.6328,0.76,-4878.36,9825.15,34,-4878.47,9823.35,33,0.2269,0.5838,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.6347,0.76,-4878.36,9825.15,34,-4878.47,9823.35,33,0.2268,0.5839,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.6318,0.75,-4878.36,9825.15,34,-4878.47,9823.35,33,0.2267,0.5823,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.062,15.12,-4876.73,9821.9,34,-4878.47,9823.35,33,0.2271,0.5831,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.6319,0.75,-4878.36,9825.15,34,-4878.47,9823.35,33,0.227,0.585,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.3849,0.59,-4877.13,9826.74,36,-4877.51,9825.47,35,0.2268,0.5863,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.3841,0.59,-4877.13,9826.74,36,-4877.51,9825.47,35,0.2268,0.5843,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.3845,0.58,-4877.13,9826.74,36,-4877.51,9825.47,35,0.227,0.5846,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.384,0.58,-4877.13,9826.74,36,-4877.51,9825.47,35,0.2269,0.585,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.3841,0.58,-4877.13,9826.74,36,-4877.51,9825.47,35,0.227,0.5834,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.3845,0.59,-4877.13,9826.74,36,-4877.51,9825.47,35,0.227,0.5831,Convergence/flat likelihood
7,SRV+Double,0.3839,0.58,-4877.13,9826.74,36,-4877.51,9825.47,35,0.2269,0.5848,Convergence/flat likelihood
8,SRV+Double,0.3839,0.58,-4877.13,9826.74,36,-4877.51,9825.47,35,0.227,0.5838,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.3841,0.58,-4877.13,9826.74,36,-4877.51,9825.47,35,0.227,0.5838,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.3843,0.58,-4877.13,9826.74,36,-4877.51,9825.47,35,0.2269,0.5828,Convergence/flat likelihood
1,SRV+Double+Triple,0.3839,0.59,-4877.13,9830.79,38,-4877.51,9829.52,37,0.2266,0.5852,Convergence/flat likelihood
2,SRV+Double+Triple,0.384,0.59,-4877.13,9830.79,38,-4877.51,9829.52,37,0.2269,0.5848,Convergence/flat likelihood
3,SRV+Double+Triple,0.384,0.59,-4877.13,9830.79,38,-4877.51,9829.52,37,0.227,0.5844,Convergence/flat likelihood
4,SRV+Double+Triple,0.3839,0.59,-4877.13,9830.79,38,-4877.51,9829.53,37,0.2268,0.5832,Convergence/flat likelihood
5,SRV+Double+Triple,0.3839,0.59,-4877.13,9830.79,38,-4877.51,9829.52,37,0.227,0.5831,Convergence/flat likelihood
6,SRV+Double+Triple,0.3843,0.58,-4877.13,9830.8,38,-4877.51,9829.52,37,0.2268,0.5837,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.3839,0.59,-4877.13,9830.79,38,-4877.51,9829.52,37,0.227,0.5838,Convergence/flat likelihood
8,SRV+Double+Triple,0.3838,0.59,-4877.13,9830.79,38,-4877.51,9829.53,37,0.2269,0.5832,Convergence/flat likelihood
9,SRV+Double+Triple,0.384,0.58,-4877.13,9830.79,38,-4877.51,9829.53,37,0.2266,0.5811,Convergence/flat likelihood
10,SRV+Double+Triple,0.3844,0.59,-4877.13,9830.8,38,-4877.51,9829.52,37,0.2269,0.5828,Convergence/flat likelihood; Collapsed rate class
