Camelus bactrianus
Sus scrofa
Hippopotamus amphibius
Eubalaena japonica
Balaenoptera acutorostrata
Balaenoptera musculus
Megaptera novaeangliae
Eschrichtius robustus
Kogia breviceps
Physeter catodon
Platanista minor
Ziphius cavirostris
Hyperoodon ampullatus
Mesoplodon bidens
Mesoplodon densirostris
Pontoporia blainvillei
Lipotes vexillifer
Delphinapterus leucas
Monodon monoceros
Neophocaena asiaeorientalis
Phocoena sinus
Orcinus orca
Lagenorhynchus obliquidens
Globicephala melas
Tursiops truncatus
Sousa chinensis
