IQ-TREE multicore version 2.3.3 COVID-edition for Linux x86 64-bit built Apr 25 2024
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    morpheus-OptiPlex-5050 (AVX2, FMA3, 503 GB RAM)
Command: iqtree2 -s per_gene_alignments_codon/LOC101391129_.aln.fna -m MFP -T 1 -B 1000 --prefix per_gene_alignments_codon/LOC101391129_.aln
Seed:    438398 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Oct 30 21:27:43 2025
Kernel:  AVX+FMA - 1 threads (72 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 72 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file per_gene_alignments_codon/LOC101391129_.aln.fna ... Fasta format detected
Reading fasta file: done in 0.000413179 secs using 49.62% CPU
Alignment most likely contains DNA/RNA sequences
Alignment has 7 sequences with 1305 columns, 87 distinct patterns
86 parsimony-informative, 201 singleton sites, 1018 constant sites
                     Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 1.4782e-05 secs
   1  Ceratotherium_simum    0.23%    passed     99.31%
   2  Diceros_bicornis       0.23%    passed     98.79%
   3  Equus_asinus           0.00%    passed     93.94%
   4  Equus_quagga           0.00%    passed     94.63%
   5  Equus_caballus         0.00%    passed     95.67%
   6  Canis_lupus            0.00%    failed      0.52%
   7  Bos_taurus             0.00%    passed     55.00%
****  TOTAL                  0.07%  1 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -3291.689
Optimal log-likelihood: -3291.679
Rate parameters:  A-C: 0.92019  A-G: 4.31910  A-T: 0.53086  C-G: 0.97922  C-T: 5.23740  G-T: 1.00000
Base frequencies:  A: 0.297  C: 0.227  G: 0.275  T: 0.201
Proportion of invariable sites: 0.388
Gamma shape alpha: 6.212
Parameters optimization took 1 rounds (0.022 sec)
Time for fast ML tree search: 0.054 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 1305) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         3296.877     19  6631.755     6632.346     6730.060
  2  GTR+F+I       3291.985     20  6623.970     6624.625     6727.450
  3  GTR+F+G4      3291.091     20  6622.182     6622.836     6725.661
  4  GTR+F+I+G4    3291.674     21  6625.348     6626.068     6734.001
  5  GTR+F+R2      3291.970     21  6625.940     6626.660     6734.593
  6  GTR+F+R3      3291.297     23  6628.594     6629.456     6747.595
 14  GTR+F+I+R2    3291.753     22  6627.506     6628.295     6741.333
 15  GTR+F+I+R3    3291.561     24  6631.122     6632.060     6755.297
 23  SYM           3312.953     16  6657.907     6658.329     6740.690
 24  SYM+I         3308.175     17  6650.350     6650.825     6738.307
 25  SYM+G4        3307.281     17  6648.563     6649.038     6736.520
 26  SYM+I+G4      3307.888     18  6651.777     6652.309     6744.908
 27  SYM+R2        3308.135     18  6652.270     6652.802     6745.401
 45  TVM+F         3297.792     18  6631.583     6632.115     6724.714
 46  TVM+F+I       3292.759     19  6623.519     6624.110     6721.824
 47  TVM+F+G4      3291.837     19  6621.675     6622.266     6719.980
 48  TVM+F+I+G4    3292.414     20  6624.828     6625.482     6728.307
 49  TVM+F+R2      3292.777     20  6625.554     6626.208     6729.033
 67  TVMe          3313.226     15  6656.452     6656.825     6734.062
 68  TVMe+I        3308.467     16  6648.935     6649.357     6731.718
 69  TVMe+G4       3307.592     16  6647.184     6647.606     6729.967
 70  TVMe+I+G4     3308.183     17  6650.365     6650.841     6738.322
 71  TVMe+R2       3308.414     17  6650.829     6651.304     6738.786
 89  TIM3+F        3298.235     17  6630.469     6630.945     6718.427
 90  TIM3+F+I      3293.301     18  6622.602     6623.134     6715.733
