IQ-TREE multicore version 2.3.3 COVID-edition for Linux x86 64-bit built Apr 25 2024
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    morpheus-OptiPlex-5050 (AVX2, FMA3, 503 GB RAM)
Command: iqtree2 -s per_gene_alignments_codon/LOC101394585_.aln.fna -m MFP -T 1 -B 1000 --prefix per_gene_alignments_codon/LOC101394585_.aln
Seed:    998394 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Oct 30 21:30:05 2025
Kernel:  AVX+FMA - 1 threads (72 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 72 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file per_gene_alignments_codon/LOC101394585_.aln.fna ... Fasta format detected
Reading fasta file: done in 0.000176191 secs
Alignment most likely contains DNA/RNA sequences
Alignment has 7 sequences with 420 columns, 40 distinct patterns
24 parsimony-informative, 28 singleton sites, 368 constant sites
                     Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 1.09673e-05 secs
   1  Ceratotherium_simum    0.00%    passed     99.12%
   2  Diceros_bicornis       0.00%    passed     98.32%
   3  Equus_asinus           0.00%    passed     97.82%
   4  Equus_quagga           0.00%    passed     99.05%
   5  Equus_caballus         0.00%    passed     97.82%
   6  Canis_lupus            0.00%    passed     94.09%
   7  Bos_taurus             0.00%    passed     98.94%
****  TOTAL                  0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: Equus_caballus is identical to Equus_asinus but kept for subsequent analysis


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -888.425
Optimal log-likelihood: -887.802
Rate parameters:  A-C: 2.62333  A-G: 8.31855  A-T: 0.00010  C-G: 1.55902  C-T: 6.53613  G-T: 1.00000
Warning! Some parameters hit the boundaries
Base frequencies:  A: 0.211  C: 0.265  G: 0.312  T: 0.212
Proportion of invariable sites: 0.437
Gamma shape alpha: 0.952
Parameters optimization took 1 rounds (0.015 sec)
Time for fast ML tree search: 0.069 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 420) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         891.087      19  1820.173     1822.073     1896.938
  2  GTR+F+I       887.633      20  1815.265     1817.370     1896.070
  3  GTR+F+G4      887.697      20  1815.394     1817.499     1896.199
  4  GTR+F+I+G4    887.743      21  1817.485     1819.807     1902.331
  5  GTR+F+R2      889.248      21  1820.495     1822.817     1905.341
  6  GTR+F+R3      887.996      23  1821.991     1824.779     1914.917
 14  GTR+F+I+R2    887.736      22  1819.471     1822.020     1908.357
 15  GTR+F+I+R3    887.725      24  1823.450     1826.488     1920.416
 23  SYM           896.688      16  1825.375     1826.725     1890.019
 24  SYM+I         893.426      17  1820.852     1822.375     1889.537
 25  SYM+G4        893.447      17  1820.894     1822.417     1889.579
 26  SYM+I+G4      893.462      18  1822.924     1824.630     1895.649
 27  SYM+R2        894.877      18  1825.754     1827.460     1898.479
 45  TVM+F         891.233      18  1818.466     1820.172     1891.191
 46  TVM+F+I       887.719      19  1813.437     1815.337     1890.202
 47  TVM+F+G4      887.788      19  1813.577     1815.477     1890.342
 48  TVM+F+I+G4    887.839      20  1815.677     1817.783     1896.482
 49  TVM+F+R2      889.384      20  1818.769     1820.874     1899.574
 67  TVMe          896.981      15  1823.962     1825.150     1884.566
 68  TVMe+I        893.641      16  1819.281     1820.631     1883.925
 69  TVMe+G4       893.668      16  1819.336     1820.686     1883.980
 70  TVMe+I+G4     893.688      17  1821.375     1822.898     1890.059
 71  TVMe+R2       895.153      17  1824.307     1825.829     1892.991
 89  TIM3+F        893.035      17  1820.069     1821.591     1888.753
 90  TIM3+F+I      889.364      18  1814.727     1816.433     1887.452
 91  TIM3+F+G4     889.396      18  1814.792     1816.498     1887.516
