IQ-TREE multicore version 2.3.3 COVID-edition for Linux x86 64-bit built Apr 25 2024
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    morpheus-OptiPlex-5050 (AVX2, FMA3, 503 GB RAM)
Command: iqtree2 -s per_gene_alignments_codon/LOC101405982_.aln.fna -m MFP -T 1 -B 1000 --prefix per_gene_alignments_codon/LOC101405982_.aln
Seed:    738978 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Oct 30 21:37:53 2025
Kernel:  AVX+FMA - 1 threads (72 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 72 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file per_gene_alignments_codon/LOC101405982_.aln.fna ... Fasta format detected
Reading fasta file: done in 0.000181198 secs
Alignment most likely contains DNA/RNA sequences
Alignment has 7 sequences with 474 columns, 35 distinct patterns
24 parsimony-informative, 45 singleton sites, 405 constant sites
                     Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 8.82149e-06 secs
   1  Ceratotherium_simum    0.00%    passed     67.90%
   2  Diceros_bicornis       0.00%    passed     61.75%
   3  Equus_asinus           0.00%    passed     99.61%
   4  Equus_quagga           0.00%    passed     99.61%
   5  Equus_caballus         0.00%    passed     98.26%
   6  Canis_lupus            0.00%    passed     18.73%
   7  Bos_taurus             0.00%    passed     75.51%
****  TOTAL                  0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: Equus_quagga is identical to Equus_asinus but kept for subsequent analysis


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -1026.823
Optimal log-likelihood: -1026.194
Rate parameters:  A-C: 0.22627  A-G: 1.92526  A-T: 0.00010  C-G: 0.58135  C-T: 5.57992  G-T: 1.00000
Warning! Some parameters hit the boundaries
Base frequencies:  A: 0.268  C: 0.285  G: 0.267  T: 0.181
Proportion of invariable sites: 0.424
Gamma shape alpha: 1.307
Parameters optimization took 1 rounds (0.003 sec)
Time for fast ML tree search: 0.079 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 474) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         1029.108     19  2096.217     2097.891     2175.280
  2  GTR+F+I       1025.955     20  2091.910     2093.764     2175.134
  3  GTR+F+G4      1025.896     20  2091.791     2093.646     2175.016
  4  GTR+F+I+G4    1025.875     21  2093.750     2095.794     2181.135
  5  GTR+F+R2      1027.133     21  2096.265     2098.309     2183.650
  6  GTR+F+R3      1026.062     23  2098.124     2100.577     2193.832
 14  GTR+F+I+R2    1025.907     22  2095.814     2098.058     2187.361
 15  GTR+F+I+R3    1025.896     24  2099.791     2102.464     2199.660
 23  SYM           1033.631     16  2099.262     2100.452     2165.841
 24  SYM+I         1030.773     17  2095.547     2096.889     2166.287
 25  SYM+G4        1030.732     17  2095.464     2096.806     2166.205
 26  SYM+I+G4      1030.715     18  2097.429     2098.933     2172.331
 27  SYM+R2        1031.808     18  2099.616     2101.119     2174.518
 45  TVM+F         1034.330     18  2104.659     2106.162     2179.561
 46  TVM+F+I       1030.207     19  2098.413     2100.087     2177.476
 47  TVM+F+G4      1030.130     19  2098.261     2099.935     2177.324
 48  TVM+F+I+G4    1030.100     20  2100.200     2102.055     2183.425
 49  TVM+F+R2      1032.076     20  2104.151     2106.006     2187.376
 67  TVMe          1036.793     15  2103.585     2104.633     2166.003
 68  TVMe+I        1033.278     16  2098.556     2099.746     2165.135
 69  TVMe+G4       1033.216     16  2098.432     2099.622     2165.011
 70  TVMe+I+G4     1033.198     17  2100.396     2101.738     2171.136
 71  TVMe+R2       1034.732     17  2103.464     2104.806     2174.204
 89  TIM3+F        1035.077     17  2104.154     2105.496     2174.894
 90  TIM3+F+I      1031.524     18  2099.047     2100.551     2173.949
 91  TIM3+F+G4     1031.508     18  2099.016     2100.520     2173.918
 92  TIM3+F+I+G4   1031.502     19  2101.003     2102.677     2180.066
 93  TIM3+F+R2     1033.039     19  2104.079     2105.753     2183.142
111  TIM3e         1039.584     14  2107.169     2108.084     2165.426
112  TIM3e+I       1036.358     15  2102.716     2103.764     2165.134
113  TIM3e+G4      1036.361     15  2102.723     2103.771     2165.141
114  TIM3e+I+G4    1036.359     16  2104.718     2105.908     2171.297
115  TIM3e+R2      1037.650     16  2107.300     2108.491     2173.880
133  TIM2+F        1030.349     17  2094.698     2096.041     2165.439
134  TIM2+F+I      1026.633     18  2089.266     2090.769     2164.168
135  TIM2+F+G4     1026.540     18  2089.080     2090.584     2163.982
136  TIM2+F+I+G4   1026.506     19  2091.012     2092.686     2170.075
137  TIM2+F+R2     1028.225     19  2094.450     2096.124     2173.513
155  TIM2e         1035.140     14  2098.279     2099.194     2156.536
156  TIM2e+I       1031.639     15  2093.279     2094.327     2155.697
157  TIM2e+G4      1031.556     15  2093.113     2094.161     2155.531
158  TIM2e+I+G4    1031.527     16  2095.055     2096.245     2161.634
159  TIM2e+R2      1033.103     16  2098.206     2099.396     2164.785
177  TIM+F         1035.148     17  2104.297     2105.639     2175.037
178  TIM+F+I       1031.536     18  2099.071     2100.574     2173.973
179  TIM+F+G4      1031.517     18  2099.034     2100.538     2173.936
180  TIM+F+I+G4    1031.510     19  2101.020     2102.694     2180.083
181  TIM+F+R2      1033.089     19  2104.178     2105.852     2183.241
199  TIMe          1039.964     14  2107.927     2108.842     2166.184
200  TIMe+I        1036.635     15  2103.270     2104.318     2165.688
201  TIMe+G4       1036.625     15  2103.250     2104.298     2165.668
202  TIMe+I+G4     1036.616     16  2105.233     2106.423     2171.812
203  TIMe+R2       1038.017     16  2108.034     2109.224     2174.613
221  TPM3u+F       1040.349     16  2112.698     2113.888     2179.277
222  TPM3u+F+I     1035.761     17  2105.522     2106.865     2176.263
223  TPM3u+F+G4    1035.755     17  2105.510     2106.852     2176.251
224  TPM3u+F+I+G4  1035.765     18  2107.529     2109.033     2182.431
225  TPM3u+F+R2    1038.044     18  2112.089     2113.592     2186.990
243  TPM3          1042.813     13  2111.627     2112.418     2165.722
244  TPM3+I        1038.840     14  2105.680     2106.595     2163.937
245  TPM3+G4       1038.846     14  2105.692     2106.607     2163.949
246  TPM3+I+G4     1038.856     15  2107.713     2108.761     2170.131
247  TPM3+R2       1040.690     15  2111.379     2112.427     2173.797
265  TPM2u+F       1035.481     16  2102.963     2104.153     2169.542
266  TPM2u+F+I     1030.687     17  2095.374     2096.716     2166.115
267  TPM2u+F+G4    1030.598     17  2095.196     2096.538     2165.937
268  TPM2u+F+I+G4  1030.546     18  2097.093     2098.596     2171.994
269  TPM2u+F+R2    1033.042     18  2102.084     2103.587     2176.985
287  TPM2          1038.263     13  2102.525     2103.317     2156.621
288  TPM2+I        1033.978     14  2095.957     2096.872     2154.214
289  TPM2+G4       1033.910     14  2095.820     2096.735     2154.077
290  TPM2+I+G4     1033.872     15  2097.744     2098.792     2160.162
291  TPM2+R2       1035.979     15  2101.958     2103.006     2164.376
309  K3Pu+F        1040.423     16  2112.846     2114.036     2179.425
310  K3Pu+F+I      1035.782     17  2105.564     2106.906     2176.305
311  K3Pu+F+G4     1035.773     17  2105.546     2106.888     2176.287
312  K3Pu+F+I+G4   1035.781     18  2107.562     2109.066     2182.464
313  K3Pu+F+R2     1038.101     18  2112.202     2113.706     2187.104
331  K3P           1043.203     13  2112.406     2113.197     2166.502
332  K3P+I         1039.105     14  2106.209     2107.124     2164.466
