IQ-TREE multicore version 2.3.3 COVID-edition for Linux x86 64-bit built Apr 25 2024
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    morpheus-OptiPlex-5050 (AVX2, FMA3, 503 GB RAM)
Command: iqtree2 -s per_gene_alignments_codon/LOC101406128_.aln.fna -m MFP -T 1 -B 1000 --prefix per_gene_alignments_codon/LOC101406128_.aln
Seed:    498127 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Oct 30 21:37:59 2025
Kernel:  AVX+FMA - 1 threads (72 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 72 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file per_gene_alignments_codon/LOC101406128_.aln.fna ... Fasta format detected
Reading fasta file: done in 0.00018096 secs
Alignment most likely contains DNA/RNA sequences
Alignment has 7 sequences with 492 columns, 113 distinct patterns
61 parsimony-informative, 154 singleton sites, 277 constant sites
                     Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 1.5974e-05 secs
   1  Ceratotherium_simum    0.00%    passed     80.00%
   2  Diceros_bicornis       5.49%    passed     68.93%
   3  Equus_asinus          12.80%    failed      0.02%
   4  Equus_quagga           0.00%    passed     27.60%
   5  Equus_caballus         0.00%    passed     27.60%
   6  Canis_lupus            0.00%    failed      0.00%
   7  Bos_taurus             0.00%    failed      0.90%
****  TOTAL                  2.61%  3 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: Equus_caballus is identical to Equus_quagga but kept for subsequent analysis


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -1834.230
Optimal log-likelihood: -1834.166
Rate parameters:  A-C: 1.80369  A-G: 3.50177  A-T: 0.83446  C-G: 2.45338  C-T: 3.24525  G-T: 1.00000
Base frequencies:  A: 0.270  C: 0.248  G: 0.267  T: 0.215
Proportion of invariable sites: 0.269
Gamma shape alpha: 998.415
Parameters optimization took 1 rounds (0.038 sec)
Time for fast ML tree search: 0.104 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 492) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         1836.950     19  3711.899     3713.509     3791.670
  2  GTR+F+I       1833.885     20  3707.770     3709.553     3791.739
  3  GTR+F+G4      1834.569     20  3709.137     3710.921     3793.107
  4  GTR+F+I+G4    1834.072     21  3710.144     3712.110     3798.312
  5  GTR+F+R2      1834.433     21  3710.865     3712.831     3799.033
  6  GTR+F+R3      1834.401     23  3714.801     3717.160     3811.366
 14  GTR+F+I+R2    1834.121     22  3712.242     3714.400     3804.609
 15  GTR+F+I+R3    1834.069     24  3716.139     3718.708     3816.902
 23  SYM           1839.819     16  3711.638     3712.783     3778.813
 24  SYM+I         1836.660     17  3707.320     3708.611     3778.694
 25  SYM+G4        1837.366     17  3708.731     3710.023     3780.106
 26  SYM+I+G4      1836.875     18  3709.751     3711.197     3785.324
 27  SYM+R2        1837.219     18  3710.438     3711.885     3786.011
 45  TVM+F         1837.055     18  3710.109     3711.555     3785.682
 46  TVM+F+I       1833.969     19  3705.938     3707.549     3785.709
 47  TVM+F+G4      1834.635     19  3707.270     3708.880     3787.041
 48  TVM+F+I+G4    1834.157     20  3708.315     3710.098     3792.285
 49  TVM+F+R2      1834.503     20  3709.006     3710.789     3792.975
 67  TVMe          1840.718     15  3711.437     3712.445     3774.414
 68  TVMe+I        1837.481     16  3706.962     3708.107     3774.138
 69  TVMe+G4       1838.136     16  3708.272     3709.417     3775.447
 70  TVMe+I+G4     1837.677     17  3709.353     3710.644     3780.727
 71  TVMe+R2       1837.988     17  3709.975     3711.267     3781.350
 89  TIM3+F        1837.422     17  3708.844     3710.135     3780.218
 90  TIM3+F+I      1834.632     18  3705.264     3706.710     3780.836
