Type,Num_Taxa,Taxa
Shared,2,"('Choloepus_didactylus', 'Chrysochloris_asiatica', 'Dasypus_novemcinctus', 'Echinops_telfairi', 'Elephantulus_edwardii', 'Elephas_maximus', 'Orycteropus_afer');('Loxodonta_africana',)"
Shared,2,"('Choloepus_didactylus', 'Chrysochloris_asiatica', 'Dasypus_novemcinctus', 'Elephantulus_edwardii', 'Elephas_maximus', 'Loxodonta_africana', 'Orycteropus_afer');('Echinops_telfairi',)"
Shared,2,"('Choloepus_didactylus', 'Chrysochloris_asiatica', 'Dasypus_novemcinctus', 'Echinops_telfairi', 'Elephantulus_edwardii', 'Elephas_maximus', 'Loxodonta_africana');('Orycteropus_afer',)"
Shared,2,"('Choloepus_didactylus', 'Dasypus_novemcinctus');('Chrysochloris_asiatica', 'Echinops_telfairi', 'Elephantulus_edwardii', 'Elephas_maximus', 'Loxodonta_africana', 'Orycteropus_afer')"
Shared,2,"('Choloepus_didactylus', 'Dasypus_novemcinctus', 'Echinops_telfairi', 'Elephantulus_edwardii', 'Elephas_maximus', 'Loxodonta_africana', 'Orycteropus_afer');('Chrysochloris_asiatica',)"
Shared,2,"('Choloepus_didactylus', 'Chrysochloris_asiatica', 'Dasypus_novemcinctus', 'Echinops_telfairi', 'Elephas_maximus', 'Loxodonta_africana', 'Orycteropus_afer');('Elephantulus_edwardii',)"
Shared,2,"('Choloepus_didactylus', 'Chrysochloris_asiatica', 'Echinops_telfairi', 'Elephantulus_edwardii', 'Elephas_maximus', 'Loxodonta_africana', 'Orycteropus_afer');('Dasypus_novemcinctus',)"
Shared,2,"('Choloepus_didactylus', 'Dasypus_novemcinctus', 'Elephas_maximus', 'Loxodonta_africana');('Chrysochloris_asiatica', 'Echinops_telfairi', 'Elephantulus_edwardii', 'Orycteropus_afer')"
Shared,2,"('Choloepus_didactylus', 'Chrysochloris_asiatica', 'Dasypus_novemcinctus', 'Echinops_telfairi', 'Elephantulus_edwardii', 'Loxodonta_africana', 'Orycteropus_afer');('Elephas_maximus',)"
Shared,2,"('Choloepus_didactylus', 'Dasypus_novemcinctus', 'Elephantulus_edwardii', 'Elephas_maximus', 'Loxodonta_africana', 'Orycteropus_afer');('Chrysochloris_asiatica', 'Echinops_telfairi')"
Shared,2,"('Choloepus_didactylus', 'Chrysochloris_asiatica', 'Dasypus_novemcinctus', 'Echinops_telfairi', 'Elephantulus_edwardii', 'Elephas_maximus', 'Loxodonta_africana', 'Orycteropus_afer');()"
Shared,2,"('Choloepus_didactylus', 'Chrysochloris_asiatica', 'Dasypus_novemcinctus', 'Echinops_telfairi', 'Elephantulus_edwardii', 'Orycteropus_afer');('Elephas_maximus', 'Loxodonta_africana')"
Shared,2,"('Choloepus_didactylus', 'Dasypus_novemcinctus', 'Elephas_maximus', 'Loxodonta_africana', 'Orycteropus_afer');('Chrysochloris_asiatica', 'Echinops_telfairi', 'Elephantulus_edwardii')"
Shared,2,"('Choloepus_didactylus',);('Chrysochloris_asiatica', 'Dasypus_novemcinctus', 'Echinops_telfairi', 'Elephantulus_edwardii', 'Elephas_maximus', 'Loxodonta_africana', 'Orycteropus_afer')"
