taxon	delta_Iss
Acinonyx_jubatus	0.0003700506006295845
Ailuropoda_melanoleuca	-0.00019563490718771392
Callorhinus_ursinus	0.00016871343921798232
Canis_lupus	-0.00012121968256730009
Enhydra_lutris	-0.00032787587406452046
Eumetopias_jubatus	0.0002577344504824802
Felis_catus	0.00034093434133121436
Halichoerus_grypus	0.0004621805143512764
Hyaena_hyaena	-0.0010887353339657097
Leopardus_geoffroyi	0.00015635420022790114
Leptonychotes_weddellii	0.00022786937948374164
Lontra_canadensis	-5.060012460575414e-06
Lutra_lutra	-0.0002203505993948751
Lynx_canadensis	0.000379576022220246
Lynx_rufus	0.0002945705120729475
Meles_meles	-0.00027617770367709127
Mirounga_angustirostris	0.00029356338255200065
Mirounga_leonina	0.0002504986242419238
Mustela_erminea	-0.0001234176740289028
Mustela_lutreola	3.4411992161240135e-05
Mustela_nigripes	-8.950604709223597e-05
Mustela_putorius	-5.9607329719074675e-05
Neofelis_nebulosa	0.00040776058560314243
Neogale_vison	-1.29001061809908e-05
Neomonachus_schauinslandi	0.0003274812994516346
Nyctereutes_procyonoides	-5.817184183813662e-05
Odobenus_rosmarus	0.0002980110255285384
Panthera_leo	0.0003468866149842209
Panthera_onca	0.0003931681150799726
Panthera_pardus	0.00035837077364342385
Panthera_tigris	0.0004044965255626948
Panthera_uncia	0.0002981091636937022
Phoca_vitulina	0.0003873369945543853
Prionailurus_bengalensis	0.00032136712129123
Prionailurus_viverrinus	0.0003723570966484707
Puma_concolor	0.00045078485579892746
Puma_yagouaroundi	0.0003616649694712648
Suricata_suricatta	-0.0012223531555559247
Ursus_americanus	-0.00022768255926845782
Ursus_arctos	-0.00014685523382383658
Ursus_maritimus	-0.00010379329949397609
Vulpes_lagopus	-0.00021897757287513142
Vulpes_vulpes	-0.00024164043462630846
Zalophus_californianus	0.0002786042667049654
Manis_javanica	-0.0027643400295398884
Manis_pentadactyla	-0.0027291151193818697
