taxon,codons_compared,syn_changes,nonsyn_changes,omega_hat,radical_changes,conserved_hits,stops
Aotus_nancymaae,923,35,47,1.3429,4,7,0
Callithrix_jacchus,923,46,54,1.1739,3,10,0
Carlito_syrichta,923,151,126,0.8344,7,43,0
Cebus_imitator,923,43,46,1.0698,2,7,0
Cercocebus_atys,923,14,11,0.7857,0,0,0
Chlorocebus_sabaeus,923,15,14,0.9333,0,1,0
Colobus_angolensis,923,23,18,0.7826,0,5,0
Cynocephalus_volans,923,113,108,0.9558,7,17,0
Eulemur_rufifrons,923,85,90,1.0588,7,5,0
Galeopterus_variegatus,923,113,109,0.9646,6,20,0
Gorilla_gorilla,923,47,45,0.9574,1,0,0
Homo_sapiens,923,19,27,1.4211,1,1,0
Hylobates_moloch,923,22,19,0.8636,2,3,0
Lemur_catta,923,92,91,0.9891,8,8,0
Macaca_fascicularis,923,13,12,0.9231,0,0,0
Macaca_mulatta,923,12,14,1.1667,0,0,0
Macaca_nemestrina,923,14,11,0.7857,0,1,0
Macaca_thibetana,923,14,12,0.8571,0,1,0
Mandrillus_leucophaeus,923,14,11,0.7857,0,1,0
Microcebus_murinus,923,109,86,0.7890,6,6,0
Nomascus_leucogenys,923,22,17,0.7727,2,2,0
Nycticebus_coucang,923,129,109,0.8450,8,16,0
Otolemur_garnettii,923,155,101,0.6516,8,20,0
Pan_paniscus,923,23,24,1.0435,1,2,0
Papio_anubis,923,15,14,0.9333,1,1,0
Piliocolobus_tephrosceles,923,15,18,1.2000,0,2,0
Pongo_abelii,923,18,24,1.3333,1,4,0
Pongo_pygmaeus,923,18,24,1.3333,1,4,0
Propithecus_coquereli,923,88,86,0.9773,7,1,0
Rhinopithecus_bieti,923,10,21,2.1000,1,3,0
Rhinopithecus_roxellana,923,11,20,1.8182,2,2,0
Saimiri_boliviensis,923,44,45,1.0227,3,5,0
Sapajus_apella,923,41,43,1.0488,2,6,0
Symphalangus_syndactylus,923,24,16,0.6667,2,1,0
Theropithecus_gelada,923,15,11,0.7333,0,0,0
Trachypithecus_francoisi,923,11,19,1.7273,3,1,0
Tupaia_chinensis,923,152,110,0.7237,5,31,0
