Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
SRX6809745,265,265,76%,3e-67,99.33,150,SRA:SRR10076347.160778602.1
SRX6809745,262,262,77%,1e-66,98.67,150,SRA:SRR10076347.270145697.2
SRX6809745,262,262,77%,1e-66,98.67,150,SRA:SRR10076347.66594625.2
SRX6809745,262,262,77%,1e-66,98.67,150,SRA:SRR10076347.61488238.1
SRX6809745,262,262,77%,1e-66,98.67,150,SRA:SRR10076347.20099973.2
SRX6809745,260,260,76%,3e-66,98.66,150,SRA:SRR10076347.172194306.2
SRX6809745,258,258,77%,4e-65,98.00,150,SRA:SRR10076347.325978781.1
SRX6809745,258,258,77%,4e-65,98.00,150,SRA:SRR10076347.323570789.1
SRX6809745,258,258,77%,4e-65,98.00,150,SRA:SRR10076347.92124672.2
SRX6809745,258,258,77%,4e-65,98.00,150,SRA:SRR10076347.92124672.1
SRX6809745,250,250,73%,6e-63,98.60,150,SRA:SRR10076347.210197208.1
SRX6809745,247,247,74%,7e-62,97.92,150,SRA:SRR10076347.18302301.1
SRX6809745,240,240,72%,1e-59,97.86,150,SRA:SRR10076347.265504241.1
SRX6809745,239,239,70%,1e-59,98.54,150,SRA:SRR10076347.126542516.2
SRX6809745,234,234,70%,5e-58,97.81,150,SRA:SRR10076347.90964462.1
SRX6809745,231,231,69%,6e-57,97.78,150,SRA:SRR10076347.265504241.2
SRX6809745,223,223,65%,8e-55,98.44,150,SRA:SRR10076347.290332004.1
SRX6809745,212,212,62%,2e-51,98.36,150,SRA:SRR10076347.210197208.2
SRX6809745,201,201,59%,3e-48,98.28,150,SRA:SRR10076347.318575552.2
SRX6809745,201,201,59%,3e-48,98.28,150,SRA:SRR10076347.160778602.2
SRX6809745,193,193,58%,1e-45,97.37,150,SRA:SRR10076347.145198765.1
SRX6809745,186,186,56%,2e-43,97.27,150,SRA:SRR10076347.90964462.2
SRX6809745,183,183,54%,7e-43,98.11,150,SRA:SRR10076347.185187923.1
SRX6809745,176,176,52%,1e-40,98.04,150,SRA:SRR10076347.172194306.1
SRX6809745,174,174,52%,4e-40,98.02,150,SRA:SRR10076347.177094304.1
SRX6809745,167,167,50%,6e-38,97.94,150,SRA:SRR10076347.180802613.1
SRX6809745,165,165,49%,2e-37,97.92,150,SRA:SRR10076347.177094304.2
SRX6809745,163,163,48%,7e-37,97.89,150,SRA:SRR10076347.330567284.1
SRX6809745,163,163,48%,7e-37,97.89,150,SRA:SRR10076347.113423239.2
SRX6809745,158,158,47%,3e-35,97.83,150,SRA:SRR10076347.111992172.2
SRX6809745,156,156,46%,1e-34,97.80,150,SRA:SRR10076347.80767659.1
SRX6809745,156,156,46%,1e-34,97.80,150,SRA:SRR10076347.47015795.1
SRX6809745,138,138,41%,3e-29,97.53,150,SRA:SRR10076347.290332004.2
SRX6809745,134,134,40%,3e-28,97.47,150,SRA:SRR10076347.20099973.1
SRX6809745,123,123,37%,6e-25,97.26,150,SRA:SRR10076347.180802613.2
SRX6809745,122,122,37%,2e-24,97.22,150,SRA:SRR10076347.13837114.2
SRX6809745,120,120,36%,7e-24,97.18,150,SRA:SRR10076347.66594625.1
SRX6809745,114,114,35%,3e-22,97.06,150,SRA:SRR10076347.323762954.2
SRX6809745,113,113,34%,1e-21,97.01,150,SRA:SRR10076347.121376400.1
SRX6809745,105,105,32%,2e-19,96.83,150,SRA:SRR10076347.252848350.1
SRX6809745,84.2,84.2,26%,5e-13,96.08,150,SRA:SRR10076347.150436402.1
SRX6809745,80.6,80.6,25%,7e-12,95.92,150,SRA:SRR10076347.325978781.2
SRX6809745,78.8,78.8,24%,2e-11,95.83,150,SRA:SRR10076347.314527913.2
SRX6809745,64.4,64.4,20%,5e-07,95.00,150,SRA:SRR10076347.303580779.2
SRX6809745,60.8,60.8,19%,6e-06,94.74,150,SRA:SRR10076347.61488238.2
SRX6809745,56.3,56.3,19%,3e-04,92.11,150,SRA:SRR10076347.323570789.2
SRX6809745,49.1,49.1,14%,0.038,96.55,150,SRA:SRR10076347.318575552.1



		


