taxon_id	species	role	status	accession	source
Sus_scrofa_REF	Sus scrofa	reference_outgroup	INTACT_REFERENCE	pig_reference	reference_exons.fa
Mus_musculus	Mus musculus	intact_background	EXTERNAL_INTACT	NM_153071.2	external_intact_fasta:external_intact_gprc6a.fasta
Rattus_norvegicus	Rattus norvegicus	intact_background	EXTERNAL_INTACT	NM_001271106.2	external_intact_fasta:external_intact_gprc6a.fasta
Canis_lupus_familiaris	Canis lupus familiaris	intact_background	EXTERNAL_INTACT	XM_038654729.1	external_intact_fasta:external_intact_gprc6a.fasta
Felis_catus	Felis catus	intact_background	EXTERNAL_INTACT	XM_003986492.6	external_intact_fasta:external_intact_gprc6a.fasta
Equus_caballus	Equus caballus	intact_background	EXTERNAL_INTACT	XM_001504147.3	external_intact_fasta:external_intact_gprc6a.fasta
Oryctolagus_cuniculus	Oryctolagus cuniculus	intact_background	EXTERNAL_INTACT	XM_002714768.4	external_intact_fasta:external_intact_gprc6a.fasta
Homo_sapiens	Homo sapiens	intact_background	EXTERNAL_INTACT	NM_148963.4	external_intact_fasta:external_intact_gprc6a.fasta
Bos_taurus	Bos taurus	loss_or_special_focus	DISRUPTED_HIGH	GCA_059336145.1	first_pass_reference_anchored_remnant
Ovis_aries	Ovis aries	loss_or_special_focus	DISRUPTED_LIKELY	GCA_057332215.1	first_pass_plus_refiner_sensitive_remnant
Bubalus_bubalis	Bubalus bubalis	loss_or_special_focus	DISRUPTED_HIGH	GCA_003121395.1	first_pass_plus_refiner_sensitive_remnant
Odocoileus_virginianus	Odocoileus virginianus	loss_or_special_focus	DISRUPTED_HIGH	GCA_023699985.4	first_pass_plus_refiner_sensitive_remnant
Bos_indicus	Bos indicus	loss_or_special_focus	DISRUPTED_LIKELY	GCA_026262515.1	first_pass_reference_anchored_remnant
Bos_mutus	Bos mutus	loss_or_special_focus	DISRUPTED_HIGH	GCA_027580195.2	first_pass_plus_refiner_sensitive_remnant
Capra_hircus	Capra hircus	loss_or_special_focus	DISRUPTED_HIGH	GCA_040806595.1	first_pass_reference_anchored_remnant
Pantholops_hodgsonii	Pantholops hodgsonii	loss_or_special_focus	DISRUPTED_LIKELY	GCA_040182635.1	first_pass_plus_refiner_sensitive_remnant
Capreolus_capreolus	Capreolus capreolus	loss_or_special_focus	DISRUPTED_HIGH	GCA_951849835.1	first_pass_plus_refiner_sensitive_remnant
Ovis_canadensis	Ovis canadensis	loss_or_special_focus	DISRUPTED_HIGH	GCA_042477335.2	first_pass_plus_refiner_sensitive_remnant
Giraffa_tippelskirchi	Giraffa tippelskirchi	loss_or_special_focus	DISRUPTED_HIGH	GCA_054371585.1	first_pass_reference_anchored_remnant
Okapia_johnstoni	Okapia johnstoni	loss_or_special_focus	DISRUPTED_LIKELY	GCA_024291935.2	first_pass_reference_anchored_remnant
Cervus_elaphus	Cervus elaphus	loss_or_special_focus	DISRUPTED_HIGH	GCA_910593805.2	first_pass_plus_refiner_sensitive_remnant
Ovis_ammon	Ovis ammon	loss_or_special_focus	DISRUPTED_HIGH	GCA_028583565.1	first_pass_plus_refiner_sensitive_remnant
Pseudois_nayaur	Pseudois nayaur	loss_or_special_focus	DISRUPTED_LIKELY	GCA_003182575.1	first_pass_reference_anchored_remnant
Bos_indicus_x_Bos_taurus	Bos indicus x Bos taurus	loss_or_special_focus	DISRUPTED_HIGH	GCA_003369685.2	first_pass_reference_anchored_remnant
Odocoileus_hemionus	Odocoileus hemionus	loss_or_special_focus	DISRUPTED_LIKELY	GCA_042767535.1	first_pass_plus_refiner_sensitive_remnant
Axis_porcinus	Axis porcinus	loss_or_special_focus	DISRUPTED_HIGH	GCA_054883215.1	first_pass_reference_anchored_remnant
Rangifer_tarandus	Rangifer tarandus	loss_or_special_focus	DISRUPTED_HIGH	GCA_949782905.1	first_pass_plus_refiner_sensitive_remnant
Nilgiritragus_hylocrius	Nilgiritragus hylocrius	loss_or_special_focus	DISRUPTED_LIKELY	GCA_004026825.1	first_pass_plus_refiner_sensitive_remnant
Beatragus_hunteri	Beatragus hunteri	loss_or_special_focus	DISRUPTED_LIKELY	GCA_004027495.1	first_pass_reference_anchored_remnant
