IQ-TREE multicore version 2.3.3 COVID-edition for Linux x86 64-bit built Apr 25 2024
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    morpheus-OptiPlex-5050 (AVX2, FMA3, 503 GB RAM)
Command: iqtree2 -s per_gene_alignments_codon/LOC101395423_.aln.fna -m MFP -T 1 -B 1000 --prefix per_gene_alignments_codon/LOC101395423_.aln
Seed:    377072 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Oct 30 21:30:41 2025
Kernel:  AVX+FMA - 1 threads (72 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 72 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file per_gene_alignments_codon/LOC101395423_.aln.fna ... Fasta format detected
Reading fasta file: done in 0.0010941 secs
Alignment most likely contains DNA/RNA sequences
Alignment has 7 sequences with 4173 columns, 140 distinct patterns
291 parsimony-informative, 2840 singleton sites, 1042 constant sites
                     Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 2.59876e-05 secs using 92.35% CPU
   1  Ceratotherium_simum    0.00%    passed     12.04%
   2  Diceros_bicornis       0.00%    passed     14.54%
   3  Equus_asinus           0.00%    passed      6.33%
   4  Equus_quagga           0.00%    passed      7.81%
   5  Equus_caballus         0.00%    passed      5.69%
   6  Canis_lupus            1.94%    passed     93.54%
   7  Bos_taurus             1.87%    failed      0.00%
****  TOTAL                  0.54%  1 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -14563.968
2. Current log-likelihood: -14561.877
3. Current log-likelihood: -14560.485
Optimal log-likelihood: -14559.520
Rate parameters:  A-C: 1.59817  A-G: 4.22185  A-T: 0.45232  C-G: 1.10847  C-T: 8.18892  G-T: 1.00000
Base frequencies:  A: 0.278  C: 0.239  G: 0.278  T: 0.205
Proportion of invariable sites: 0.050
Gamma shape alpha: 3.502
Parameters optimization took 3 rounds (0.032 sec)
Time for fast ML tree search: 0.119 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 4173) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         14564.028    19  29166.056    29166.239    29286.448
  2  GTR+F+I       14559.709    20  29159.419    29159.621    29286.146
  3  GTR+F+G4      14559.113    20  29158.226    29158.428    29284.954
  4  GTR+F+I+G4    14557.148    21  29156.296    29156.519    29289.361
  5  GTR+F+R2      14559.650    21  29161.299    29161.522    29294.364
  6  GTR+F+R3      14558.377    23  29162.754    29163.020    29308.491
 14  GTR+F+I+R2    14556.315    22  29156.630    29156.874    29296.031
 15  GTR+F+I+R3    14554.633    24  29157.266    29157.556    29309.340
 23  SYM           14635.090    16  29302.181    29302.312    29403.563
 24  SYM+I         14629.878    17  29293.756    29293.903    29401.474
 25  SYM+G4        14629.627    17  29293.253    29293.401    29400.972
 26  SYM+I+G4      14627.071    18  29290.141    29290.306    29404.196
 27  SYM+R2        14630.570    18  29297.139    29297.304    29411.194
 45  TVM+F         14589.555    18  29215.109    29215.274    29329.164
 46  TVM+F+I       14584.816    19  29207.632    29207.815    29328.024
 47  TVM+F+G4      14584.634    19  29207.268    29207.451    29327.659
 48  TVM+F+I+G4    14582.052    20  29204.103    29204.306    29330.831
 49  TVM+F+R2      14584.894    20  29209.787    29209.990    29336.515
 67  TVMe          14645.195    15  29320.390    29320.506    29415.436
 68  TVMe+I        14639.273    16  29310.547    29310.678    29411.929
 69  TVMe+G4       14639.482    16  29310.965    29311.096    29412.347
 70  TVMe+I+G4     14636.301    17  29306.602    29306.749    29414.321
 71  TVMe+R2       14640.276    17  29314.551    29314.698    29422.270
 89  TIM3+F        14568.625    17  29171.250    29171.398    29278.969
 90  TIM3+F+I      14564.269    18  29164.537    29164.702    29278.592
 91  TIM3+F+G4     14563.130    18  29162.261    29162.425    29276.316
 92  TIM3+F+I+G4   14561.209    19  29160.418    29160.601    29280.810
 93  TIM3+F+R2     14563.693    19  29165.386    29165.569    29285.777
111  TIM3e         14639.682    14  29307.364    29307.465    29396.073
112  TIM3e+I       14634.271    15  29298.542    29298.657    29393.587
113  TIM3e+G4      14633.527    15  29297.054    29297.170    29392.100
114  TIM3e+I+G4    14631.071    16  29294.142    29294.273    29395.524
115  TIM3e+R2      14634.449    16  29300.897    29301.028    29402.279
133  TIM2+F        14575.451    17  29184.901    29185.049    29292.620
134  TIM2+F+I      14571.346    18  29178.691    29178.856    29292.746
135  TIM2+F+G4     14569.773    18  29175.546    29175.711    29289.601
136  TIM2+F+I+G4   14568.152    19  29174.304    29174.487    29294.695
137  TIM2+F+R2     14570.376    19  29178.752    29178.935    29299.144
155  TIM2e         14649.535    14  29327.069    29327.170    29415.779
156  TIM2e+I       14644.394    15  29318.788    29318.903    29413.834
157  TIM2e+G4      14643.284    15  29316.569    29316.684    29411.614
158  TIM2e+I+G4    14641.138    16  29314.277    29314.408    29415.659
159  TIM2e+R2      14644.350    16  29320.699    29320.830    29422.082
177  TIM+F         14571.215    17  29176.429    29176.577    29284.148
178  TIM+F+I       14567.139    18  29170.278    29170.443    29284.333
179  TIM+F+G4      14565.953    18  29167.906    29168.071    29281.961
180  TIM+F+I+G4    14564.266    19  29166.533    29166.716    29286.924
181  TIM+F+R2      14566.560    19  29171.120    29171.303    29291.511
199  TIMe          14645.298    14  29318.597    29318.698    29407.306
200  TIMe+I        14640.221    15  29310.443    29310.558    29405.489
201  TIMe+G4       14639.511    15  29309.022    29309.137    29404.067
202  TIMe+I+G4     14637.291    16  29306.582    29306.712    29407.964
203  TIMe+R2       14640.527    16  29313.054    29313.185    29414.436
221  TPM3u+F       14594.309    16  29220.618    29220.749    29322.000
222  TPM3u+F+I     14589.568    17  29213.137    29213.284    29320.856
223  TPM3u+F+G4    14588.826    17  29211.652    29211.799    29319.371
224  TPM3u+F+I+G4  14586.352    18  29208.705    29208.869    29322.760
225  TPM3u+F+R2    14589.078    18  29214.155    29214.320    29328.210
243  TPM3          14649.844    13  29325.689    29325.776    29408.062
244  TPM3+I        14643.849    14  29315.699    29315.800    29404.408
