IQ-TREE multicore version 2.3.3 COVID-edition for Linux x86 64-bit built Apr 25 2024
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    morpheus-OptiPlex-5050 (AVX2, FMA3, 503 GB RAM)
Command: iqtree2 -s per_gene_alignments_codon/LOC101409065_.aln.fna -m MFP -T 1 -B 1000 --prefix per_gene_alignments_codon/LOC101409065_.aln
Seed:    830810 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Oct 30 21:39:57 2025
Kernel:  AVX+FMA - 1 threads (72 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 72 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file per_gene_alignments_codon/LOC101409065_.aln.fna ... Fasta format detected
Reading fasta file: done in 0.000216961 secs
Alignment most likely contains DNA/RNA sequences
Alignment has 7 sequences with 603 columns, 81 distinct patterns
55 parsimony-informative, 90 singleton sites, 458 constant sites
                     Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 1.50204e-05 secs
   1  Ceratotherium_simum    1.00%    passed     80.76%
   2  Diceros_bicornis       0.00%    passed     92.23%
   3  Equus_asinus           0.00%    passed    100.00%
   4  Equus_quagga           0.00%    passed    100.00%
   5  Equus_caballus         0.00%    passed     99.93%
   6  Canis_lupus            0.00%    passed     87.09%
   7  Bos_taurus             1.00%    passed     87.19%
****  TOTAL                  0.28%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: Equus_quagga is identical to Equus_asinus but kept for subsequent analysis


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -1624.522
Optimal log-likelihood: -1624.502
Rate parameters:  A-C: 2.24497  A-G: 8.87249  A-T: 1.23002  C-G: 2.13887  C-T: 9.68816  G-T: 1.00000
Base frequencies:  A: 0.216  C: 0.300  G: 0.294  T: 0.191
Proportion of invariable sites: 0.378
Gamma shape alpha: 2.782
Parameters optimization took 1 rounds (0.011 sec)
Time for fast ML tree search: 0.092 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 603) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         1631.427     19  3300.854     3302.157     3384.490
  2  GTR+F+I       1624.684     20  3289.368     3290.811     3377.406
  3  GTR+F+G4      1624.457     20  3288.915     3290.358     3376.953
  4  GTR+F+I+G4    1624.500     21  3290.999     3292.590     3383.440
  5  GTR+F+R2      1625.349     21  3292.697     3294.288     3385.138
  6  GTR+F+R3      1624.514     23  3295.028     3296.935     3396.273
 14  GTR+F+I+R2    1624.600     22  3293.200     3294.945     3390.042
 15  GTR+F+I+R3    1624.547     24  3297.094     3299.170     3402.740
 23  SYM           1642.371     16  3316.741     3317.669     3387.172
 24  SYM+I         1636.411     17  3306.822     3307.868     3381.654
 25  SYM+G4        1636.280     17  3306.559     3307.606     3381.392
 26  SYM+I+G4      1636.310     18  3308.621     3309.792     3387.855
 27  SYM+R2        1637.347     18  3310.695     3311.866     3389.929
 45  TVM+F         1631.742     18  3299.484     3300.655     3378.718
 46  TVM+F+I       1624.774     19  3287.547     3288.851     3371.184
 47  TVM+F+G4      1624.563     19  3287.126     3288.430     3370.762
 48  TVM+F+I+G4    1624.596     20  3289.193     3290.636     3377.231
 49  TVM+F+R2      1625.398     20  3290.796     3292.239     3378.834
 67  TVMe          1642.450     15  3314.900     3315.717     3380.928
 68  TVMe+I        1636.418     16  3304.836     3305.765     3375.267
 69  TVMe+G4       1636.285     16  3304.570     3305.498     3375.001
 70  TVMe+I+G4     1636.314     17  3306.628     3307.675     3381.461
 71  TVMe+R2       1637.279     17  3308.557     3309.604     3383.390
 89  TIM3+F        1631.481     17  3296.962     3298.008     3371.795
 90  TIM3+F+I      1624.731     18  3285.463     3286.634     3364.697
 91  TIM3+F+G4     1624.502     18  3285.003     3286.175     3364.238
 92  TIM3+F+I+G4   1624.546     19  3287.092     3288.396     3370.729
 93  TIM3+F+R2     1625.392     19  3288.784     3290.088     3372.420
111  TIM3e         1642.598     14  3313.196     3313.910     3374.823
112  TIM3e+I       1636.584     15  3303.168     3303.985     3369.196
113  TIM3e+G4      1636.439     15  3302.879     3303.696     3368.907
114  TIM3e+I+G4    1636.475     16  3304.950     3305.878     3375.380
115  TIM3e+R2      1637.530     16  3307.060     3307.988     3377.491
133  TIM2+F        1633.809     17  3301.617     3302.664     3376.450
134  TIM2+F+I      1626.619     18  3289.239     3290.410     3368.473
135  TIM2+F+G4     1626.235     18  3288.471     3289.642     3367.705
136  TIM2+F+I+G4   1626.308     19  3290.616     3291.920     3374.253
137  TIM2+F+R2     1626.989     19  3291.978     3293.282     3375.615
155  TIM2e         1646.910     14  3321.820     3322.534     3383.447
156  TIM2e+I       1640.652     15  3311.304     3312.122     3377.333
157  TIM2e+G4      1640.364     15  3310.728     3311.546     3376.757
158  TIM2e+I+G4    1640.442     16  3312.884     3313.813     3383.315
159  TIM2e+R2      1641.343     16  3314.685     3315.613     3385.116
177  TIM+F         1633.687     17  3301.374     3302.420     3376.206
178  TIM+F+I       1626.587     18  3289.175     3290.346     3368.409
179  TIM+F+G4      1626.221     18  3288.443     3289.614     3367.677
180  TIM+F+I+G4    1626.293     19  3290.586     3291.890     3374.223
181  TIM+F+R2      1626.955     19  3291.909     3293.213     3375.545
199  TIMe          1646.735     14  3321.469     3322.184     3383.096
200  TIMe+I        1640.522     15  3311.044     3311.862     3377.073
201  TIMe+G4       1640.255     15  3310.510     3311.328     3376.539
202  TIMe+I+G4     1640.327     16  3312.654     3313.582     3383.085
203  TIMe+R2       1641.301     16  3314.602     3315.531     3385.033
221  TPM3u+F       1631.796     16  3295.593     3296.521     3366.024
222  TPM3u+F+I     1624.821     17  3283.643     3284.689     3358.475
223  TPM3u+F+G4    1624.610     17  3283.221     3284.267     3358.053
224  TPM3u+F+I+G4  1624.644     18  3285.288     3286.459     3364.523
225  TPM3u+F+R2    1625.445     18  3286.890     3288.061     3366.124
243  TPM3          1642.678     13  3311.357     3311.975     3368.582
244  TPM3+I        1636.587     14  3301.173     3301.888     3362.800
245  TPM3+G4       1636.444     14  3300.888     3301.603     3362.515
246  TPM3+I+G4     1636.478     15  3302.956     3303.774     3368.985
247  TPM3+R2       1637.461     15  3304.922     3305.739     3370.950
265  TPM2u+F       1634.127     16  3300.254     3301.182     3370.684
266  TPM2u+F+I     1626.724     17  3287.449     3288.495     3362.281
267  TPM2u+F+G4    1626.361     17  3286.721     3287.767     3361.554
268  TPM2u+F+I+G4  1626.422     18  3288.843     3290.014     3368.078
269  TPM2u+F+R2    1627.045     18  3290.091     3291.262     3369.325
287  TPM2          1646.994     13  3319.987     3320.605     3377.212
288  TPM2+I        1640.654     14  3309.308     3310.022     3370.935
289  TPM2+G4       1640.368     14  3308.737     3309.451     3370.364
290  TPM2+I+G4     1640.445     15  3310.889     3311.707     3376.918
291  TPM2+R2       1641.361     15  3312.722     3313.539     3378.750
