IQ-TREE multicore version 2.3.3 COVID-edition for Linux x86 64-bit built Apr 25 2024
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    morpheus-OptiPlex-5050 (AVX2, FMA3, 503 GB RAM)
Command: iqtree2 -s per_gene_alignments_codon/LOC101408739_.aln.fna -m MFP -T 1 -B 1000 --prefix per_gene_alignments_codon/LOC101408739_.aln
Seed:    270692 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Oct 30 21:39:44 2025
Kernel:  AVX+FMA - 1 threads (72 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 72 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file per_gene_alignments_codon/LOC101408739_.aln.fna ... Fasta format detected
Reading fasta file: done in 0.000712156 secs using 49.85% CPU
Alignment most likely contains DNA/RNA sequences
Alignment has 7 sequences with 2580 columns, 123 distinct patterns
128 parsimony-informative, 1767 singleton sites, 685 constant sites
                     Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 2.00272e-05 secs
   1  Ceratotherium_simum    0.00%    passed     63.78%
   2  Diceros_bicornis       0.00%    passed     82.35%
   3  Equus_asinus           0.00%    passed     99.80%
   4  Equus_quagga           0.00%    passed     95.81%
   5  Equus_caballus         0.00%    passed     99.61%
   6  Canis_lupus            0.00%    passed     98.23%
   7  Bos_taurus             0.81%    passed      8.86%
****  TOTAL                  0.12%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -8441.291
2. Current log-likelihood: -8439.046
3. Current log-likelihood: -8437.639
Optimal log-likelihood: -8436.707
Rate parameters:  A-C: 1.13190  A-G: 3.75241  A-T: 0.27848  C-G: 1.12991  C-T: 6.26637  G-T: 1.00000
Base frequencies:  A: 0.249  C: 0.281  G: 0.271  T: 0.199
Proportion of invariable sites: 0.056
Gamma shape alpha: 3.301
Parameters optimization took 3 rounds (0.048 sec)
Time for fast ML tree search: 0.134 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 2580) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         8443.338     19  16924.675    16924.972    17035.930
  2  GTR+F+I       8438.112     20  16916.225    16916.553    17033.336
  3  GTR+F+G4      8436.979     20  16913.958    16914.287    17031.069
  4  GTR+F+I+G4    8435.180     21  16912.361    16912.722    17035.327
  5  GTR+F+R2      8435.751     21  16913.501    16913.863    17036.468
  6  GTR+F+R3      8430.404     23  16906.808    16907.240    17041.486
 14  GTR+F+I+R2    8432.924     22  16909.849    16910.244    17038.671
 15  GTR+F+I+R3    8427.957     24  16903.913    16904.383    17044.446
 23  SYM           8496.376     16  17024.753    17024.965    17118.442
 24  SYM+I         8489.870     17  17013.740    17013.979    17113.284
 25  SYM+G4        8490.131     17  17014.261    17014.500    17113.806
 26  SYM+I+G4      8487.315     18  17010.629    17010.897    17116.029
 27  SYM+R2        8489.103     18  17014.205    17014.473    17119.605
 36  SYM+I+R2      8485.184     19  17008.368    17008.665    17119.623
 45  TVM+F         8449.207     18  16934.414    16934.681    17039.813
 46  TVM+F+I       8443.869     19  16925.738    16926.035    17036.994
 47  TVM+F+G4      8443.183     19  16924.365    16924.662    17035.621
 48  TVM+F+I+G4    8440.988     20  16921.977    16922.305    17039.088
 49  TVM+F+R2      8441.707     20  16923.414    16923.742    17040.525
 58  TVM+F+I+R2    8438.711     21  16919.422    16919.783    17042.388
 67  TVMe          8499.996     15  17029.992    17030.179    17117.825
 68  TVMe+I        8493.379     16  17018.758    17018.971    17112.447
 69  TVMe+G4       8493.845     16  17019.690    17019.902    17113.378
 70  TVMe+I+G4     8490.772     17  17015.543    17015.782    17115.088
 71  TVMe+R2       8492.636     17  17019.273    17019.512    17118.817
 80  TVMe+I+R2     8488.633     18  17013.267    17013.534    17118.667
 89  TIM3+F        8446.016     17  16926.032    16926.271    17025.576
 90  TIM3+F+I      8440.660     18  16917.321    16917.588    17022.720
 91  TIM3+F+G4     8439.587     18  16915.173    16915.440    17020.573
 92  TIM3+F+I+G4   8437.760     19  16913.520    16913.817    17024.775
 93  TIM3+F+R2     8438.511     19  16915.022    16915.319    17026.278
102  TIM3+F+I+R2   8435.519     20  16911.038    16911.366    17028.149
111  TIM3e         8499.159     14  17026.318    17026.481    17108.295
112  TIM3e+I       8492.557     15  17015.114    17015.301    17102.947
113  TIM3e+G4      8492.839     15  17015.679    17015.866    17103.512
114  TIM3e+I+G4    8490.036     16  17012.072    17012.284    17105.761
115  TIM3e+R2      8491.917     16  17015.833    17016.046    17109.522
124  TIM3e+I+R2    8487.892     17  17009.784    17010.023    17109.328
133  TIM2+F        8447.507     17  16929.013    16929.252    17028.557
134  TIM2+F+I      8442.306     18  16920.611    16920.878    17026.011
135  TIM2+F+G4     8440.807     18  16917.614    16917.881    17023.014
136  TIM2+F+I+G4   8439.175     19  16916.349    16916.646    17027.605
137  TIM2+F+R2     8439.758     19  16917.516    16917.813    17028.772
146  TIM2+F+I+R2   8436.959     20  16913.918    16914.246    17031.029
155  TIM2e         8502.310     14  17032.619    17032.783    17114.597
156  TIM2e+I       8495.820     15  17021.641    17021.828    17109.474
157  TIM2e+G4      8495.665     15  17021.330    17021.517    17109.163
158  TIM2e+I+G4    8493.056     16  17018.113    17018.325    17111.801
159  TIM2e+R2      8494.765     16  17021.531    17021.743    17115.220
168  TIM2e+I+R2    8490.910     17  17015.820    17016.058    17115.364
177  TIM+F         8447.889     17  16929.777    16930.016    17029.322
178  TIM+F+I       8442.508     18  16921.016    16921.283    17026.416
