IQ-TREE multicore version 2.3.3 COVID-edition for Linux x86 64-bit built Apr 25 2024
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    morpheus-OptiPlex-5050 (AVX2, FMA3, 503 GB RAM)
Command: iqtree2 -s per_gene_alignments_codon/LOC101398768_.aln.fna -m MFP -T 1 -B 1000 --prefix per_gene_alignments_codon/LOC101398768_.aln
Seed:    741887 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Oct 30 21:32:56 2025
Kernel:  AVX+FMA - 1 threads (72 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 72 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file per_gene_alignments_codon/LOC101398768_.aln.fna ... Fasta format detected
Reading fasta file: done in 0.000597954 secs
Alignment most likely contains DNA/RNA sequences
Alignment has 7 sequences with 2037 columns, 184 distinct patterns
144 parsimony-informative, 523 singleton sites, 1370 constant sites
                     Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 3.09944e-05 secs using 96.79% CPU
   1  Ceratotherium_simum   41.97%    passed     72.38%
   2  Diceros_bicornis       0.00%    passed     89.82%
   3  Equus_asinus           0.00%    passed     98.74%
   4  Equus_quagga           0.00%    passed     99.63%
   5  Equus_caballus         0.00%    passed     99.36%
   6  Canis_lupus            0.59%    passed     88.48%
   7  Bos_taurus             1.18%    passed     42.35%
****  TOTAL                  6.25%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -5955.582
Optimal log-likelihood: -5955.110
Rate parameters:  A-C: 2.19255  A-G: 5.02717  A-T: 1.46355  C-G: 2.24723  C-T: 4.77641  G-T: 1.00000
Base frequencies:  A: 0.230  C: 0.287  G: 0.304  T: 0.180
Proportion of invariable sites: 0.342
Gamma shape alpha: 14.982
Parameters optimization took 1 rounds (0.004 sec)
Time for fast ML tree search: 0.121 seconds

NOTE: ModelFinder requires 1 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 2037) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         5962.674     19  11963.347    11963.724    12070.113
  2  GTR+F+I       5954.731     20  11949.463    11949.879    12061.847
  3  GTR+F+G4      5954.279     20  11948.558    11948.975    12060.943
  4  GTR+F+I+G4    5954.844     21  11951.688    11952.147    12069.692
  5  GTR+F+R2      5954.436     21  11950.873    11951.331    12068.877
  6  GTR+F+R3      5954.337     23  11954.674    11955.223    12083.917
 14  GTR+F+I+R2    5954.732     22  11953.464    11953.966    12077.087
 15  GTR+F+I+R3    5954.727     24  11957.453    11958.050    12092.315
 23  SYM           6005.582     16  12043.165    12043.434    12133.073
 24  SYM+I         5998.019     17  12030.038    12030.341    12125.565
 25  SYM+G4        5997.327     17  12028.654    12028.957    12124.181
 26  SYM+I+G4      5998.182     18  12032.363    12032.702    12133.509
 27  SYM+R2        5997.527     18  12031.055    12031.393    12132.201
 45  TVM+F         5962.705     18  11961.410    11961.749    12062.557
 46  TVM+F+I       5954.795     19  11947.590    11947.966    12054.355
 47  TVM+F+G4      5954.328     19  11946.656    11947.033    12053.422
 48  TVM+F+I+G4    5954.912     20  11949.824    11950.241    12062.209
 49  TVM+F+R2      5954.490     20  11948.979    11949.396    12061.364
 67  TVMe          6007.267     15  12044.534    12044.771    12128.822
 68  TVMe+I        5999.694     16  12031.389    12031.658    12121.296
 69  TVMe+G4       5998.992     16  12029.985    12030.254    12119.892
 70  TVMe+I+G4     5999.894     17  12033.788    12034.091    12129.315
 71  TVMe+R2       5999.224     17  12032.449    12032.752    12127.976
 89  TIM3+F        5963.259     17  11960.519    11960.822    12056.046
 90  TIM3+F+I      5955.149     18  11946.298    11946.637    12047.445
