IQ-TREE multicore version 2.3.3 COVID-edition for Linux x86 64-bit built Apr 25 2024
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    morpheus-OptiPlex-5050 (AVX2, FMA3, 503 GB RAM)
Command: iqtree2 -s per_gene_alignments_codon/LOC101406738_.aln.fna -m MFP -T 1 -B 1000 --prefix per_gene_alignments_codon/LOC101406738_.aln
Seed:    366889 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Oct 30 21:38:24 2025
Kernel:  AVX+FMA - 1 threads (72 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 72 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file per_gene_alignments_codon/LOC101406738_.aln.fna ... Fasta format detected
Reading fasta file: done in 0.000574112 secs
Alignment most likely contains DNA/RNA sequences
Alignment has 7 sequences with 2031 columns, 122 distinct patterns
119 parsimony-informative, 458 singleton sites, 1454 constant sites
                     Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 2.88486e-05 secs using 97.06% CPU
   1  Ceratotherium_simum    0.15%    passed     14.01%
   2  Diceros_bicornis       0.15%    passed     12.88%
   3  Equus_asinus           0.59%    passed     46.41%
   4  Equus_quagga           0.00%    passed     46.75%
   5  Equus_caballus         0.00%    passed     49.48%
   6  Canis_lupus            0.00%    passed     37.57%
   7  Bos_taurus             2.07%    failed      0.00%
****  TOTAL                  0.42%  1 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -5427.454
Optimal log-likelihood: -5426.719
Rate parameters:  A-C: 1.69542  A-G: 3.34179  A-T: 0.52506  C-G: 0.55389  C-T: 5.16758  G-T: 1.00000
Base frequencies:  A: 0.319  C: 0.208  G: 0.247  T: 0.227
Proportion of invariable sites: 0.367
Gamma shape alpha: 998.297
Parameters optimization took 1 rounds (0.037 sec)
Time for fast ML tree search: 0.152 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 2031) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         5434.102     19  10906.205    10906.583    11012.914
  2  GTR+F+I       5426.541     20  10893.082    10893.500    11005.408
  3  GTR+F+G4      5426.935     20  10893.869    10894.287    11006.195
  4  GTR+F+I+G4    5426.679     21  10895.358    10895.818    11013.300
  5  GTR+F+R2      5426.878     21  10895.756    10896.216    11013.698
  6  GTR+F+R3      5426.870     23  10899.740    10900.291    11028.915
 14  GTR+F+I+R2    5426.876     22  10897.752    10898.256    11021.310
 15  GTR+F+I+R3    5426.773     24  10901.547    10902.145    11036.338
 23  SYM           5440.416     16  10912.831    10913.101    11002.692
 24  SYM+I         5434.149     17  10902.298    10902.602    10997.774
 25  SYM+G4        5434.557     17  10903.113    10903.417    10998.590
 26  SYM+I+G4      5434.499     18  10904.998    10905.338    11006.091
 27  SYM+R2        5434.417     18  10904.833    10905.173    11005.927
 45  TVM+F         5441.139     18  10918.278    10918.618    11019.371
 46  TVM+F+I       5432.674     19  10903.348    10903.726    11010.058
 47  TVM+F+G4      5433.206     19  10904.413    10904.791    11011.122
 48  TVM+F+I+G4    5432.694     20  10905.388    10905.806    11017.714
 49  TVM+F+R2      5433.187     20  10906.374    10906.792    11018.700
 67  TVMe          5441.423     15  10912.846    10913.084    10997.090
 68  TVMe+I        5435.000     16  10902.001    10902.271    10991.861
 69  TVMe+G4       5435.428     16  10902.856    10903.127    10992.717
 70  TVMe+I+G4     5435.305     17  10904.610    10904.914    11000.087
 71  TVMe+R2       5435.284     17  10904.568    10904.872    11000.045
 89  TIM3+F        5447.454     17  10928.907    10929.211    11024.384
 90  TIM3+F+I      5436.630     18  10909.260    10909.600    11010.353
 91  TIM3+F+G4     5437.403     18  10910.806    10911.146    11011.900
 92  TIM3+F+I+G4   5436.703     19  10911.406    10911.784    11018.115
 93  TIM3+F+R2     5437.186     19  10912.373    10912.750    11019.082
111  TIM3e         5455.921     14  10939.842    10940.050    11018.470
112  TIM3e+I       5446.544     15  10923.089    10923.327    11007.333
113  TIM3e+G4      5447.314     15  10924.628    10924.866    11008.872
114  TIM3e+I+G4    5446.544     16  10925.087    10925.357    11014.948
115  TIM3e+R2      5447.082     16  10926.164    10926.434    11016.025
133  TIM2+F        5448.091     17  10930.181    10930.485    11025.658
134  TIM2+F+I      5438.776     18  10913.552    10913.892    11014.645
135  TIM2+F+G4     5439.442     18  10914.884    10915.223    11015.977
136  TIM2+F+I+G4   5438.769     19  10915.537    10915.915    11022.247
137  TIM2+F+R2     5439.326     19  10916.652    10917.030    11023.361
155  TIM2e         5453.951     14  10935.902    10936.110    11014.530
156  TIM2e+I       5445.714     15  10921.429    10921.667    11005.673
157  TIM2e+G4      5446.453     15  10922.906    10923.144    11007.151
158  TIM2e+I+G4    5445.731     16  10923.463    10923.733    11013.323
159  TIM2e+R2      5446.356     16  10924.712    10924.982    11014.572
177  TIM+F         5437.144     17  10908.289    10908.593    11003.765
178  TIM+F+I       5429.783     18  10895.567    10895.907    10996.660
179  TIM+F+G4      5430.084     18  10896.169    10896.509    10997.262
180  TIM+F+I+G4    5429.957     19  10897.913    10898.291    11004.623
181  TIM+F+R2      5430.042     19  10898.083    10898.461    11004.792
199  TIMe          5445.062     14  10918.123    10918.331    10996.751
200  TIMe+I        5438.834     15  10907.667    10907.906    10991.912
201  TIMe+G4       5439.160     15  10908.319    10908.557    10992.563
202  TIMe+I+G4     5439.187     16  10910.375    10910.645    11000.235
203  TIMe+R2       5439.036     16  10910.072    10910.343    10999.933
221  TPM3u+F       5454.586     16  10941.172    10941.442    11031.033
222  TPM3u+F+I     5442.464     17  10918.928    10919.232    11014.405
223  TPM3u+F+G4    5443.506     17  10921.012    10921.316    11016.489
224  TPM3u+F+I+G4  5442.695     18  10921.390    10921.729    11022.483
