taxon,codons_compared,syn_changes,nonsyn_changes,omega_hat,radical_changes,conserved_hits,stops
Acomys_russatus,909,130,85,0.6538,6,11,0
Alexandromys_fortis,909,98,53,0.5408,1,0,0
Apodemus_sylvaticus,909,126,72,0.5714,5,2,0
Arvicanthis_niloticus,909,100,46,0.4600,1,1,0
Arvicola_amphibius,909,84,52,0.6190,2,3,0
Chionomys_nivalis,909,92,47,0.5109,3,1,0
Cricetulus_griseus,909,88,48,0.5455,2,3,0
Dipodomys_merriami,909,213,137,0.6432,7,4,0
Dipodomys_ordii,909,217,133,0.6129,7,3,0
Dipodomys_spectabilis,909,216,132,0.6111,7,3,0
Fukomys_damarensis,909,197,152,0.7716,5,14,0
Grammomys_surdaster,909,101,53,0.5248,2,1,0
Heterocephalus_glaber,909,197,157,0.7970,5,17,0
Ictidomys_tridecemlineatus,909,163,115,0.7055,6,1,0
Lepus_europaeus,909,168,136,0.8095,7,8,0
Marmota_flaviventris,909,177,114,0.6441,5,0,0
Marmota_marmota,909,165,119,0.7212,6,0,0
Marmota_monax,909,172,117,0.6802,5,0,0
Mastomys_coucha,909,119,65,0.5462,4,2,0
Meriones_unguiculatus,909,111,86,0.7748,2,10,0
Mesocricetus_auratus,909,86,43,0.5000,3,0,0
Microtus_ochrogaster,909,98,51,0.5204,1,0,0
Microtus_oregoni,909,91,52,0.5714,1,2,0
Mus_caroli,909,113,56,0.4956,4,2,0
Mus_musculus,909,99,55,0.5556,4,1,0
Mus_pahari,909,107,62,0.5794,4,5,0
Myodes_glareolus,909,100,44,0.4400,1,0,0
Nannospalax_galili,909,135,76,0.5630,6,3,0
Onychomys_torridus,909,103,57,0.5534,5,1,0
Oryctolagus_cuniculus,909,163,139,0.8528,5,8,0
Perognathus_longimembris,909,205,136,0.6634,8,4,0
Peromyscus_californicus,909,86,50,0.5814,1,0,0
Peromyscus_eremicus,909,84,46,0.5476,1,0,0
Peromyscus_maniculatus,909,93,53,0.5699,2,4,0
Phodopus_roborovskii,909,98,61,0.6224,0,3,0
Psammomys_obesus,909,106,87,0.8208,3,10,0
Rattus_norvegicus,909,130,65,0.5000,5,1,0
Sciurus_carolinensis,909,174,104,0.5977,3,0,0
Urocitellus_parryii,907,163,114,0.6994,6,1,0
