Antechinus_flavipes	XM_051993343
Dromiciops_gliroides	XM_043964711
Gracilinanus_agilis	XM_044674567
Macrotis_lagotis	XM_074187437
Monodelphis_domestica	XM_007484467
Notamacropus_eugenii	XM_072643136
Petaurus_breviceps	XM_069076988
Phascolarctos_cinereus	XM_020971655
Sarcophilus_harrisii	XM_003769393
Sminthopsis_crassicaudata	XM_074265417
Trichosurus_vulpecula	XM_036765725
Vombatus_ursinus	XM_027848533
