PREDICTED TRANSCRIPTION START SITES:

whole_upstream__ref_NC_037336.1__33772346-33876376_1-46426___, 46425 nucleotides

  Position  Score  Likelihood
      1400  0.602  Marginal prediction
      2700  0.737  Marginal prediction
      5500  1.149  Highly likely prediction
      6500  1.094  Highly likely prediction
      9200  0.727  Marginal prediction
     10700  0.676  Marginal prediction
     11200  0.508  Marginal prediction
     11600  0.547  Marginal prediction
     12600  0.695  Marginal prediction
     13500  0.520  Marginal prediction
     16100  0.735  Marginal prediction
     17500  0.707  Marginal prediction
     19600  1.228  Highly likely prediction
     20700  1.075  Highly likely prediction
     22200  0.701  Marginal prediction
     22700  0.561  Marginal prediction
     23900  0.678  Marginal prediction
     24400  0.595  Marginal prediction
     25700  0.661  Marginal prediction
     27500  1.302  Highly likely prediction
     30900  1.211  Highly likely prediction
     31500  0.633  Marginal prediction
     32400  0.668  Marginal prediction
     33600  0.689  Marginal prediction
     34200  0.538  Marginal prediction
     35300  0.610  Marginal prediction
     36400  0.670  Marginal prediction
     37600  0.628  Marginal prediction
     38500  0.560  Marginal prediction
     39500  0.645  Marginal prediction
     41400  1.107  Highly likely prediction
     43300  1.163  Highly likely prediction
     44100  0.528  Marginal prediction
     44800  0.580  Marginal prediction
