assembly_accession	organism_name	species_key	assembly_level	status	genome_source	assembly_status	assembly_reason	first_pass_status	locus_n_fraction	locus_longest_n_run	locus_low_complexity	warnings	exon	exon_index	reference_nt	reference_aa_start	reference_aa_end	original_coverage	original_callable_fraction	original_identity	original_confidence	protein_model_aa_coverage	sensitive_blast_coverage	sensitive_blast_identity	sensitive_blast_bitscore	exon_verdict	original_n_context
GCA_000191605.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.	exon_1	1	194	1	65	0.0				0.0			0.0	STILL_POORLY_RECOVERED	{}
GCA_000191605.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.	exon_2	2	304	65	166	0.0				0.0			0.0	STILL_POORLY_RECOVERED	{}
GCA_000191605.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.	exon_3	3	837	167	445	0.0				0.0			0.0	STILL_POORLY_RECOVERED	{}
GCA_000191605.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.	exon_4	4	213	446	516	0.0				0.0			0.0	STILL_POORLY_RECOVERED	{}
GCA_000191605.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.	exon_5	5	124	517	558	0.0				0.0			0.0	STILL_POORLY_RECOVERED	{}
GCA_000191605.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.	exon_6	6	1115	558	929	0.0				0.0			0.0	STILL_POORLY_RECOVERED	{}
GCA_000191625.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.	exon_1	1	194	1	65	0.0				0.0			0.0	STILL_POORLY_RECOVERED	{}
GCA_000191625.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.	exon_2	2	304	65	166	0.0				0.0			0.0	STILL_POORLY_RECOVERED	{}
GCA_000191625.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.	exon_3	3	837	167	445	0.0				0.0			0.0	STILL_POORLY_RECOVERED	{}
GCA_000191625.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.	exon_4	4	213	446	516	0.0				0.0			0.0	STILL_POORLY_RECOVERED	{}
GCA_000191625.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.	exon_5	5	124	517	558	0.0				0.0			0.0	STILL_POORLY_RECOVERED	{}
GCA_000191625.1	Odocoileus virginianus	Odocoileus virginianus	Contig	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.	exon_6	6	1115	558	929	0.0				0.0			0.0	STILL_POORLY_RECOVERED	{}
GCA_000005525.1	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.6420995115043703	93578.0	True		exon_1	1	194	1	65	0.9432989690721649	0.9432989690721649	0.8524590163934426	HIGH	0.9846153846153847	0.9690721649484536	0.8125	179.0	RECOVERED_CONCORDANT	"{""length"": 387, ""longest_n_run"": 13, ""n_count"": 13, ""n_fraction"": 0.03359173126614987, ""n_runs"": 1}"
GCA_000005525.1	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.6420995115043703	93578.0	True		exon_2	2	304	65	166	0.6677631578947368	0.6677631578947368	0.9014778325123153	MEDIUM	0.8137254901960784	0.6677631578947368	0.90148	277.0	RESCUED_AT_PROTEIN_LEVEL	"{""length"": 403, ""longest_n_run"": 100, ""n_count"": 100, ""n_fraction"": 0.24813895781637718, ""n_runs"": 1}"
