branch	parent	child	child_is_tip	branch_length	site	nt_distance	is_multi_hit
0	INTERNAL	67	0	5.3653	1	0	0
1	67	14	0	59.5647	1	0	0
2	14	Cynocephalus_volans	1	19.8	1	0	0
3	14	Galeopterus_variegatus	1	19.8	1	0	0
4	67	71	0	5.60978	1	0	0
5	71	35	0	14.4549	1	0	0
6	35	13	0	20.2607	1	0	0
7	13	Nycticebus_coucang	1	39.0393	1	0	0
8	13	Otolemur_garnettii	1	39.0393	1	0	0
9	35	36	0	23.3	1	0	0
10	36	25	0	0.06	1	0	0
11	25	Propithecus_coquereli	1	35.94	1	0	0
12	25	Microcebus_murinus	1	35.94	1	0	0
13	36	37	0	16.27	1	0	0
14	37	Lemur_catta	1	19.73	1	0	0
15	37	Eulemur_rufifrons	1	19.73	1	0	0
16	71	77	0	5.15492	1	0	0
17	77	97	0	25.7	1	0	0
18	97	51	0	25.0165	1	0	0
19	51	34	0	1.48348	1	0	0
20	34	Aotus_nancymaae	1	16.4	1	0	0
21	34	Callithrix_jacchus	1	16.4	1	0	0
22	51	33	0	2.48348	1	0	0
23	33	43	0	9.22	1	0	0
24	43	Cebus_imitator	1	6.18	1	0	0
25	43	Sapajus_apella	1	6.18	1	0	0
26	33	Saimiri_boliviensis	1	15.2967	1	0	0
27	97	98	0	14.08	1	0	0
28	98	63	0	9.36286	1	0	0
29	63	49	0	10.924	1	0	0
30	49	50	0	1.12418	1	0	0
31	50	Symphalangus_syndactylus	1	7.409	1	0	0
32	50	Hylobates_moloch	1	7.409	1	0	0
33	49	Nomascus_leucogenys	1	8.53318	1	0	0
34	63	48	0	4.25714	1	0	0
35	48	60	0	6.6	1	0	0
36	60	Gorilla_gorilla	1	8.6	1	0	0
37	60	57	0	2.2	1	0	0
38	57	Homo_sapiens	1	6.4	1	0	0
39	57	Pan_paniscus	1	6.4	1	0	0
40	48	56	0	11.09	1	0	0
41	56	Pongo_pygmaeus	1	4.11	1	0	0
42	56	Pongo_abelii	1	4.11	1	0	0
43	98	78	0	11.065	1	0	0
44	78	82	0	5.42784	1	0	0
45	82	Chlorocebus_sabaeus	1	12.3272	1	0	0
46	82	83	0	1.87316	1	0	0
47	83	73	0	2.954	1	0	0
48	73	47	0	2.98	1	0	0
49	47	Papio_anubis	1	4.52	1	0	0
50	47	Theropithecus_gelada	1	4.52	1	0	0
51	73	68	0	2.7663	1	0	0
52	68	Mandrillus_leucophaeus	1	4.7337	1	0	0
53	68	Cercocebus_atys	1	4.7337	1	0	0
54	83	87	0	5.95678	1	0	0
55	87	84	0	0.2888	1	0	0
56	84	Macaca_thibetana	1	4.20842	1	0	0
57	84	72	0	0.89101	1	0	0
58	72	Macaca_mulatta	1	3.31741	1	0	0
59	72	Macaca_fascicularis	1	3.31741	1	0	0
60	87	Macaca_nemestrina	1	4.49722	1	0	0
61	78	92	0	4.96845	1	0	0
62	92	79	0	2.67772	1	0	0
63	79	Trachypithecus_francoisi	1	10.1088	1	0	0
64	79	80	0	7.91883	1	0	0
65	80	Rhinopithecus_roxellana	1	2.19	1	0	0
66	80	Rhinopithecus_bieti	1	2.19	1	0	0
67	92	94	0	2.43155	1	0	0
68	94	Piliocolobus_tephrosceles	1	10.355	1	0	0
69	94	Colobus_angolensis	1	10.355	1	0	0
70	77	Carlito_syrichta	1	68.6	1	0	0
71	INTERNAL	Tupaia_chinensis	1	84.73	1	0	0
0	INTERNAL	67	0	5.3653	2	0	0
1	67	14	0	59.5647	2	0	0
2	14	Cynocephalus_volans	1	19.8	2	0	0
3	14	Galeopterus_variegatus	1	19.8	2	0	0
4	67	71	0	5.60978	2	0	0
5	71	35	0	14.4549	2	0	0
6	35	13	0	20.2607	2	0	0
7	13	Nycticebus_coucang	1	39.0393	2	0	0
