accession	organism_name	species	assembly_level	assembly_status	species_status	source	callable_fraction	reconstructed_fraction	n_fraction	explicit_deleted_nt	insertion_nt	sensitive_rescued_nt	internal_stop_count_naive	frame_remainder	supported_events	rescued_events	quality_score	warnings
GCA_000003055.5	Bos taurus	Bos taurus	Chromosome	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9598134194474345	0.9598134194474345	0.01942103334554782	59	1	0	33	2	14	0	124.71544702347435	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000003205.6	Bos taurus	Bos taurus	Chromosome	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9598134194474345	0.9598134194474345	0.01942103334554782	59	1	0	33	2	14	0	124.71544702347435	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000005525.1	Ovis aries	Ovis aries	Chromosome	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.7402224614280588	0.7412988876928597	0.2451659978110179	52	6	44	29	2	10	0	98.92366378751703	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000180995.3	Bubalus bubalis	Bubalus bubalis	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.8008611410118407	0.8008611410118407	0.17820324005891017	71	0	43	24	1	11	0	98.0862225730545	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000191605.1	Odocoileus virginianus	Odocoileus virginianus	Contig	UNRESOLVED	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.0	0.0	1.0	0	0	0	0	0	0	0	-7.0	"[""raw_blast_missing_or_empty""]"
GCA_000191625.1	Odocoileus virginianus	Odocoileus virginianus	Contig	UNRESOLVED	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.0	0.0	1.0	0	0	0	0	0	0	0	-7.0	"[""raw_blast_missing_or_empty""]"
GCA_000247795.2	Bos indicus	Bos indicus	Chromosome	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.9569429494079655	0.961248654467169	0.017955294979846097	59	1	0	32	2	12	0	124.44305740318447	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000298355.1	Bos mutus	Bos mutus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.961248654467169	0.961248654467169	0.017889740781307048	59	11	26	31	0	12	0	121.7443321598486	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000298735.2	Ovis aries	Ovis aries	Chromosome	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9669895945461069	0.9669895945461069	0.012426900584795321	58	7	26	37	0	13	0	125.43276150390211	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000317765.2	Capra hircus	Capra hircus	Chromosome	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.965913168281306	0.965913168281306	0.010993037742762916	65	7	0	38	2	12	0	125.35538741424539	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000400835.1	Pantholops hodgsonii	Pantholops hodgsonii	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9687836383207751	0.9687836383207751	0.010972933430870519	57	4	28	40	1	10	0	122.6426354613112	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000471725.1	Bubalus bubalis	Bubalus bubalis	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.5055615357014711	0.5055615357014711	0.4867030965391621	42	0	0	9	0	6	0	61.68912260475548	"[""refiner_sensitive_exon_blast_incorporated""]"
