Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Species Key	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
T2T-mGirTip1v1.2.pri	GCA_054371585.1	GCF_054371585.1	Giraffa tippelskirchi	Giraffa tippelskirchi					mGirTip1	male		Complete Genome	2026-01-06	JBRKMC01	16
T2T-mGirTip1v1.2.pri	GCF_054371585.1	GCA_054371585.1	Giraffa tippelskirchi	Giraffa tippelskirchi					mGirTip1	male	GCF_054371585.1-RS_2026_02	Complete Genome	2026-01-06	JBRKMC01	16
ASM5624782v1	GCA_056247825.1		Hydropotes inermis	Hydropotes inermis					ZX01			Complete Genome	2026-03-23	JBQQXF01	35
NDDB_SH_1	GCA_019923935.1	GCF_019923935.1	Bubalus bubalis	Bubalus bubalis	Murrah				160015118507	female		Chromosome	2021-09-10	VDCB01	25
NDDB_SH_1	GCF_019923935.1	GCA_019923935.1	Bubalus bubalis	Bubalus bubalis	Murrah				160015118507	female	NCBI Bubalus bubalis Annotation Release 103	Chromosome	2021-09-10	VDCB01	25
Bosgru_T2T1.0	GCA_055505025.1	GCF_055505025.1	Bos grunniens	Bos grunniens			Pamir		PY7600			Chromosome	2026-02-24	JBTWXA01	30
Bosgru_T2T1.0	GCF_055505025.1	GCA_055505025.1	Bos grunniens	Bos grunniens			Pamir		PY7600		GCF_055505025.1-RS_2026_07	Chromosome	2026-02-25	JBTWXA01	30
ARS-UCD2.0	GCA_002263795.4	GCF_002263795.3	Bos taurus	Bos taurus	Hereford				L1 Dominette 01449 registration number 42190680	female		Chromosome	2023-07-01	NKLS02	1957
ARS-UCD2.0	GCF_002263795.3	GCA_002263795.4	Bos taurus	Bos taurus	Hereford				L1 Dominette 01449 registration number 42190680	female	GCF_002263795.3-RS_2024_12	Chromosome	2023-07-01	NKLS02	1957
ARS-UI_Ramb_v3.0	GCA_016772045.2	GCF_016772045.2	Ovis aries	Ovis aries	Rambouillet	OAR_USU_Benz2616				female		Chromosome	2023-07-20	JAEVFA01	142
ARS-UI_Ramb_v3.0	GCF_016772045.2	GCA_016772045.2	Ovis aries	Ovis aries	Rambouillet	OAR_USU_Benz2616				female	GCF_016772045.2-RS_2023_10	Chromosome	2023-07-20	JAEVFA01	142
ARS1.2	GCA_001704415.2	GCF_001704415.2	Capra hircus	Capra hircus	San Clemente					male		Chromosome	2016-08-24	LWLT01	29885
ARS1.2	GCF_001704415.2	GCA_001704415.2	Capra hircus	Capra hircus	San Clemente					male	NCBI Capra hircus Annotation Release 102	Chromosome	2016-08-24	LWLT01	29885
NIAB-ARS_B.indTharparkar_mat_pri_1.0	GCA_029378745.1	GCF_029378745.1	Bos indicus	Bos indicus	Sahiwal x Tharparkar				NIAB-ARS_2022	female		Chromosome	2023-03-24	JAPFIJ01	67
NIAB-ARS_B.indTharparkar_mat_pri_1.0	GCF_029378745.1	GCA_029378745.1	Bos indicus	Bos indicus	Sahiwal x Tharparkar				NIAB-ARS_2022	female	GCF_029378745.1-RS_2024_12	Chromosome	2023-03-24	JAPFIJ01	67
ASM4008512v1	GCA_040085125.1		Cervus nippon	Cervus nippon					HPL2020	male		Chromosome	2024-06-07	JAYKZF01	51
UOA_Angus_1	GCA_003369685.2		Bos indicus x Bos taurus	Bos indicus x Bos taurus	Angus x Brahman F1 hybrid					male		Chromosome	2018-11-30	PUFT02	1435
mRanTar1.h1.1	GCA_949782905.1		Rangifer tarandus platyrhynchus	Rangifer tarandus							Annotation submitted by EBP Norway	Chromosome	2023-04-20	CATKSN02	1395
YUN_Gayal_1	GCA_043643345.1		Bos frontalis	Bos frontalis	Chinese Gayal					male		Chromosome	2024-10-24	JBIDEE01	1068
NWIPB_WYAK_1.1	GCA_027580195.2	GCF_027580195.1	Bos mutus	Bos mutus					GX-2022	male		Chromosome	2023-01-09	JANCMR01	2039
NWIPB_WYAK_1.1	GCF_027580195.1	GCA_027580195.2	Bos mutus	Bos mutus					GX-2022	male	GCF_027580195.1-RS_2024_12	Chromosome	2023-01-09	JANCMR01	2039
mMunRee1.2	GCA_963930625.2		Muntiacus reevesi	Muntiacus reevesi								Chromosome	2026-02-01	CAWVNM02	241
mCerEla1.1	GCA_910594005.1	GCF_910594005.1	Cervus elaphus	Cervus elaphus								Chromosome	2021-07-07	CAJVBL01	144
