alias_id	full_species	len	Ns	percent_N
Ceratotherium_simum	Ceratotherium simum	861	0	0.00
Diceros_bicornis	Diceros bicornis	861	0	0.00
Equus_asinus	Equus asinus	861	0	0.00
Equus_quagga	Equus quagga	861	0	0.00
Equus_caballus	Equus caballus	861	0	0.00
Canis_lupus	Canis lupus	861	0	0.00
Bos_taurus	Bos taurus	861	0	0.00
